Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	1024	0.129545	0
2	1025	0.129453	0
3	1026	0.129312	0
4	1027	0.129129	0
5	1028	0.128912	0
6	1029	0.128671	0
7	1030	0.128413	0
8	1031	0.128147	0
9	1032	0.127882	0
10	1033	0.127625	0
11	1034	0.127385	0
12	1035	0.127171	0
13	1036	0.126996	0
14	1037	0.126896	0
15	1038	0.126907	0
16	1039	0.126963	0
17	1040	0.127102	0
18	1041	0.127225	0
19	1042	0.127431	0
20	1043	0.127612	0
21	1044	0.127846	0
22	1045	0.128053	0
23	1046	0.128264	0
24	1047	0.128471	0
25	1048	0.128659	0
26	1049	0.128865	0
27	1050	0.12906	0
28	1051	0.129251	0
29	1052	0.129392	0
30	1053	0.12963	0
31	1054	0.129829	0
32	1055	0.130004	0
33	1056	0.130129	0
34	1057	0.13025	0
35	1058	0.130356	0
36	1059	0.130528	0
37	1060	0.130669	0
38	1061	0.130754	0
39	1062	0.130848	0
40	1063	0.130893	0
41	1064	0.130894	0
42	1065	0.130823	0
43	1066	0.130745	0
44	1067	0.130695	0
45	1068	0.130631	0
46	1069	0.130592	0
47	1070	0.130561	0
48	1071	0.130548	0
49	1072	0.130552	0
50	1073	0.130601	0
51	1074	0.130696	0
52	1075	0.130868	0
53	1076	0.131019	0
54	1077	0.131615	0
55	1078	0.132001	0
56	1079	0.132268	0
57	1080	0.132415	0
58	1081	0.132452	0
59	1082	0.132303	0
60	1083	0.132049	0
61	1084	0.131673	0
62	1085	0.131144	0
63	1086	0.130522	0
64	1087	0.129818	0
65	1088	0.129077	0
66	1089	0.128354	0
67	1090	0.127597	0
68	1091	0.126844	0
69	1092	0.126179	0
70	1093	0.125615	0
71	1094	0.12515	0
72	1095	0.124861	0
73	1096	0.124722	0
74	1097	0.124736	0
75	1098	0.124944	0
76	1099	0.12536	0
77	1100	0.125426	0
78	1101	0.125455	0
79	1102	0.125526	0
80	1103	0.125594	0
81	1104	0.12568	0
82	1105	0.125793	0
83	1106	0.125855	0
84	1107	0.125884	0
85	1108	0.125861	0
86	1109	0.12577	0
87	1110	0.125729	0
88	1111	0.125734	0
89	1112	0.12571	0
90	1113	0.125674	0
91	1114	0.125671	0
92	1115	0.125624	0
93	1116	0.125598	0
94	1117	0.125626	0
95	1118	0.125603	0
96	1119	0.125585	0
97	1120	0.125563	0
98	1121	0.125535	0
99	1122	0.1255	0
100	1123	0.125464	0
101	1124	0.125537	0
102	1125	0.125666	0
103	1126	0.125827	0
104	1127	0.12595	0
105	1128	0.125992	0
106	1129	0.126086	0
107	1130	0.126159	0
108	1131	0.126254	0
109	1132	0.126383	0
110	1133	0.126493	0
111	1134	0.126624	0
112	1135	0.126797	0
113	1136	0.127007	0
114	1137	0.12728	0
115	1138	0.1276	0
116	1139	0.127828	0
117	1140	0.127917	0
118	1141	0.128006	0
119	1142	0.127982	0
120	1143	0.127955	0
121	1144	0.127912	0
122	1145	0.127929	0
123	1146	0.127934	0
124	1147	0.127923	0
125	1148	0.127827	0
126	1149	0.127752	0
127	1150	0.127668	0
128	1151	0.127589	0
129	1152	0.127542	0
130	1153	0.127523	0
131	1154	0.12751	0
132	1155	0.127519	0
133	1156	0.127554	0
134	1157	0.127574	0
135	1158	0.127624	0
136	1159	0.127679	0
137	1160	0.127654	0
138	1161	0.127568	0
139	1162	0.127488	0
140	1163	0.127459	0
