Start_Pos	End_Pos	Discriminant_Value	Distance from cutoff
1	200	0.241611	0.00161137
2	201	0.241083	0.00108303
3	202	0.240556	0.000556207
4	203	0.240031	3.09021e-05
5	204	0.239507	-0.000492886
6	205	0.238985	-0.00101516
7	206	0.238464	-0.00153591
8	207	0.237945	-0.00205515
9	208	0.237427	-0.00257287
10	209	0.236911	-0.00308907
11	210	0.236396	-0.00360375
12	211	0.235883	-0.00411692
13	212	0.235371	-0.00462857
14	213	0.234861	-0.0051387
15	214	0.234353	-0.00564732
16	215	0.233846	-0.00615442
17	216	0.23334	-0.00666
18	217	0.232836	-0.00716406
19	218	0.232333	-0.00766661
20	219	0.231832	-0.00816764
21	220	0.231333	-0.00866715
22	221	0.230835	-0.00916514
23	222	0.230338	-0.00966162
24	223	0.229843	-0.0101566
25	224	0.22935	-0.01065
26	225	0.228858	-0.0111419
27	226	0.228368	-0.0116324
28	227	0.227879	-0.0121213
29	228	0.227391	-0.0126086
30	229	0.226906	-0.0130945
31	230	0.226421	-0.0135788
32	231	0.225938	-0.0140616
33	232	0.225457	-0.0145429
34	233	0.224977	-0.0150227
35	234	0.224499	-0.015501
36	235	0.224022	-0.0159778
37	236	0.223547	-0.016453
38	237	0.223073	-0.0169267
39	238	0.222601	-0.0173989
40	239	0.22213	-0.0178696
41	240	0.221661	-0.0183388
42	241	0.221194	-0.0188064
43	242	0.220727	-0.0192726
44	243	0.220263	-0.0197372
45	244	0.2198	-0.0202003
46	245	0.219338	-0.0206618
47	246	0.218878	-0.0211219
48	247	0.21842	-0.0215805
49	248	0.217963	-0.0220375
50	249	0.217507	-0.022493
51	250	0.217053	-0.022947
52	251	0.216601	-0.0233995
53	252	0.21615	-0.0238504
54	253	0.2157	-0.0242999
55	254	0.215252	-0.0247478
56	255	0.214806	-0.0251942
57	256	0.214361	-0.0256391
58	257	0.213918	-0.0260825
59	258	0.213476	-0.0265243
60	259	0.213035	-0.0269647
61	260	0.212597	-0.0274035
62	261	0.212159	-0.0278408
63	262	0.211723	-0.0282766
64	263	0.211289	-0.0287109
65	264	0.210856	-0.0291436
66	265	0.210425	-0.0295749
67	266	0.209995	-0.0300046
68	267	0.209567	-0.0304328
69	268	0.209141	-0.0308595
70	269	0.208715	-0.0312846
71	270	0.208292	-0.0317083
72	271	0.20787	-0.0321304
73	272	0.207449	-0.032551
74	273	0.20703	-0.0329701
75	274	0.206612	-0.0333877
76	275	0.206196	-0.0338038
77	276	0.205782	-0.0342183
78	277	0.205369	-0.0346313
79	278	0.204957	-0.0350429
80	279	0.204547	-0.0354529
81	280	0.204139	-0.0358613
82	281	0.203732	-0.0362683
83	282	0.203326	-0.0366737
84	283	0.202922	-0.0370777
85	284	0.20252	-0.0374801
86	285	0.202119	-0.037881
87	286	0.20172	-0.0382803
88	287	0.201322	-0.0386782
89	288	0.200925	-0.0390745
90	289	0.200531	-0.0394694
91	290	0.200137	-0.0398627
92	291	0.199746	-0.0402545
93	292	0.199355	-0.0406447
94	293	0.198967	-0.0410335
95	294	0.198579	-0.0414207
96	295	0.198194	-0.0418064
97	296	0.197809	-0.0421906
98	297	0.197427	-0.0425733
99	298	0.197046	-0.0429545
100	299	0.196666	-0.0433341
101	300	0.196288	-0.0437123
102	301	0.195911	-0.0440889
103	302	0.195536	-0.044464
104	303	0.195162	-0.0448376
105	304	0.19479	-0.0452096
106	305	0.19442	-0.0455802
107	306	0.194051	-0.0459492
108	307	0.193683	-0.0463167
109	308	0.193317	-0.0466827
110	309	0.192953	-0.0470472
111	310	0.19259	-0.0474102
112	311	0.192228	-0.0477716
113	312	0.191868	-0.0481315
114	313	0.19151	-0.0484899
115	314	0.191153	-0.0488468
116	315	0.190798	-0.0492022
117	316	0.190444	-0.0495561
118	317	0.190092	-0.0499084
774	973	0.190401	-0.0495993
775	974	0.190807	-0.049193
776	975	0.191195	-0.0488045
777	976	0.191592	-0.0484083
778	977	0.191998	-0.0480018
779	978	0.19236	-0.0476396
780	979	0.192723	-0.0472769
781	980	0.193098	-0.0469016
782	981	0.193534	-0.0464657
783	982	0.194044	-0.0459563
784	983	0.194564	-0.0454361
785	984	0.19508	-0.0449195
786	985	0.19558	-0.0444201
787	986	0.196019	-0.043981
788	987	0.196453	-0.0435466
789	988	0.196887	-0.0431132
790	989	0.197316	-0.0426837
791	990	0.197819	-0.0421808
792	991	0.198301	-0.0416991
793	992	0.198762	-0.0412382
794	993	0.199237	-0.0407632
795	994	0.199735	-0.0402653
796	995	0.200245	-0.0397552
797	996	0.200743	-0.0392569
798	997	0.201212	-0.0387882
799	998	0.201666	-0.0383339
800	999	0.202057	-0.0379432
801	1000	0.202478	-0.0375218
802	1001	0.202832	-0.0371676
803	1002	0.203189	-0.0368108
804	1003	0.203519	-0.036481
805	1004	0.203818	-0.0361822
806	1005	0.204126	-0.0358736
807	1006	0.204439	-0.0355613
808	1007	0.20474	-0.0352599
809	1008	0.20503	-0.0349698
810	1009	0.205325	-0.0346748
811	1010	0.205604	-0.0343964
812	1011	0.205897	-0.0341033
813	1012	0.206201	-0.0337988
814	1013	0.20648	-0.0335201
815	1014	0.206723	-0.0332766
816	1015	0.206971	-0.0330289
817	1016	0.207216	-0.0327843
818	1017	0.2075	-0.0325004
819	1018	0.207784	-0.0322165
820	1019	0.208044	-0.031956
821	1020	0.208296	-0.031704
822	1021	0.208555	-0.0314446
823	1022	0.20881	-0.0311897
824	1023	0.209049	-0.0309511
825	1024	0.209285	-0.0307153
826	1025	0.209533	-0.0304667
827	1026	0.209761	-0.030239
828	1027	0.209981	-0.0300185
829	1028	0.210187	-0.0298128
830	1029	0.210396	-0.0296036
831	1030	0.210613	-0.0293867
832	1031	0.21084	-0.0291598
833	1032	0.211072	-0.0289282
834	1033	0.211364	-0.0286364
835	1034	0.211686	-0.0283142
836	1035	0.212009	-0.0279906
837	1036	0.212351	-0.0276488
838	1037	0.212748	-0.0272525
839	1038	0.213137	-0.0268635
840	1039	0.213524	-0.0264761
841	1040	0.213897	-0.0261032
842	1041	0.21425	-0.0257504
843	1042	0.214585	-0.0254146
844	1043	0.214914	-0.025086
845	1044	0.215244	-0.0247563
846	1045	0.215591	-0.0244095
847	1046	0.215933	-0.0240673
848	1047	0.216271	-0.0237285
849	1048	0.216658	-0.0233417
850	1049	0.217047	-0.0229535
851	1050	0.217442	-0.0225575
852	1051	0.217849	-0.0221514
853	1052	0.218213	-0.0217869
854	1053	0.218576	-0.0214241
855	1054	0.21895	-0.0210499
856	1055	0.219296	-0.0207038
857	1056	0.21968	-0.0203198
858	1057	0.220061	-0.0199387
859	1058	0.220404	-0.0195962
860	1059	0.220753	-0.0192468
861	1060	0.221091	-0.0189088
862	1061	0.221468	-0.0185318
863	1062	0.221834	-0.018166
864	1063	0.222273	-0.0177267
865	1064	0.222692	-0.0173079
866	1065	0.223101	-0.0168995
867	1066	0.223476	-0.0165242
868	1067	0.22385	-0.0161496
869	1068	0.224253	-0.0157467
870	1069	0.224663	-0.0153372
871	1070	0.225061	-0.0149394
872	1071	0.225526	-0.0144743
873	1072	0.226007	-0.0139934
874	1073	0.226499	-0.0135009
875	1074	0.227	-0.013
876	1075	0.227483	-0.0125175
877	1076	0.227962	-0.0120376
878	1077	0.228433	-0.0115668
879	1078	0.228925	-0.0110752
880	1079	0.229421	-0.0105786
881	1080	0.229918	-0.0100816
882	1081	0.230411	-0.00958905
883	1082	0.230892	-0.00910795
884	1083	0.231365	-0.00863482
885	1084	0.231793	-0.00820657
886	1085	0.232152	-0.00784783
887	1086	0.232454	-0.00754551
888	1087	0.232712	-0.00728847
889	1088	0.232947	-0.00705294
890	1089	0.233149	-0.00685143
891	1090	0.233363	-0.0066366
892	1091	0.233574	-0.00642566
893	1092	0.233762	-0.00623798
894	1093	0.23391	-0.00608981
895	1094	0.234039	-0.00596094
896	1095	0.234166	-0.00583359
897	1096	0.234307	-0.00569344
898	1097	0.234431	-0.00556894
899	1098	0.234536	-0.00546351
900	1099	0.234641	-0.00535925
901	1100	0.234744	-0.00525635
902	1101	0.234832	-0.00516845
903	1102	0.234913	-0.00508684
904	1103	0.234962	-0.00503772
905	1104	0.234989	-0.00501139
906	1105	0.235056	-0.00494425
907	1106	0.235142	-0.00485768
908	1107	0.235195	-0.0048049
909	1108	0.235243	-0.00475696
910	1109	0.235265	-0.00473471
911	1110	0.235277	-0.00472254
912	1111	0.235276	-0.00472418
913	1112	0.235271	-0.00472947
914	1113	0.235238	-0.00476179
915	1114	0.235224	-0.00477598
916	1115	0.23519	-0.00480986
917	1116	0.23514	-0.00485988
918	1117	0.235089	-0.00491126
919	1118	0.235053	-0.00494713
920	1119	0.23501	-0.00499004
921	1120	0.234975	-0.00502453
922	1121	0.234944	-0.00505585
