Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	1024	0.211977	0
2	1025	0.210912	0
3	1026	0.210082	0
4	1027	0.209466	0
5	1028	0.209044	0
6	1029	0.208794	0
7	1030	0.208696	0
8	1031	0.208728	0
9	1032	0.208869	0
10	1033	0.209098	0
11	1034	0.209395	0
12	1035	0.209738	0
13	1036	0.209963	0
14	1037	0.210254	0
15	1038	0.210442	0
16	1039	0.210659	0
17	1040	0.210879	0
18	1041	0.211011	0
19	1042	0.21112	0
20	1043	0.211253	0
21	1044	0.211394	0
22	1045	0.21163	0
23	1046	0.211715	0
24	1047	0.211751	0
25	1048	0.211862	0
26	1049	0.211838	0
27	1050	0.21173	0
28	1051	0.211524	0
29	1052	0.211397	0
30	1053	0.211427	0
31	1054	0.211273	0
32	1055	0.211083	0
33	1056	0.210722	0
34	1057	0.210333	0
35	1058	0.210031	0
36	1059	0.209677	0
37	1060	0.209164	0
38	1061	0.208765	0
39	1062	0.208241	0
40	1063	0.207836	0
41	1064	0.207563	0
42	1065	0.207471	0
43	1066	0.207467	0
44	1067	0.207462	0
45	1068	0.207602	0
46	1069	0.207788	0
47	1070	0.208021	0
48	1071	0.20824	0
49	1072	0.20848	0
50	1073	0.208776	0
51	1074	0.209118	0
52	1075	0.209522	0
53	1076	0.209755	0
54	1077	0.209847	0
55	1078	0.209775	0
56	1079	0.209796	0
57	1080	0.209629	0
58	1081	0.209426	0
59	1082	0.209072	0
60	1083	0.20868	0
61	1084	0.208124	0
62	1085	0.207695	0
63	1086	0.20724	0
64	1087	0.206905	0
65	1088	0.206733	0
66	1089	0.206476	0
67	1090	0.206194	0
68	1091	0.205721	0
69	1092	0.205103	0
70	1093	0.204539	0
71	1094	0.203846	0
72	1095	0.203168	0
73	1096	0.20261	0
74	1097	0.201983	0
75	1098	0.201159	0
76	1099	0.200301	0
77	1100	0.199523	0
78	1101	0.198816	0
79	1102	0.198084	0
80	1103	0.197468	0
81	1104	0.196748	0
82	1105	0.196076	0
83	1106	0.195527	0
84	1107	0.195128	0
85	1108	0.194795	0
86	1109	0.194541	0
87	1110	0.194369	0
88	1111	0.193934	0
89	1112	0.193476	0
90	1113	0.192928	0
91	1114	0.192352	0
92	1115	0.191816	0
93	1116	0.191186	0
94	1117	0.190666	0
95	1118	0.190321	0
96	1119	0.189921	0
97	1120	0.189511	0
98	1121	0.189029	0
99	1122	0.188723	0
100	1123	0.18845	0
101	1124	0.188153	0
102	1125	0.18793	0
103	1126	0.187821	0
104	1127	0.187726	0
105	1128	0.187785	0
106	1129	0.187957	0
107	1130	0.188127	0
108	1131	0.188408	0
109	1132	0.189021	0
110	1133	0.189605	0
111	1134	0.190319	0
112	1135	0.191008	0
113	1136	0.191623	0
114	1137	0.192248	0
115	1138	0.192973	0
116	1139	0.193674	0
117	1140	0.194309	0
118	1141	0.194864	0
119	1142	0.195458	0
120	1143	0.196076	0
121	1144	0.196923	0
122	1145	0.197775	0
123	1146	0.198571	0
124	1147	0.199328	0
125	1148	0.200048	0
126	1149	0.200722	0
127	1150	0.201373	0
128	1151	0.201797	0
129	1152	0.202094	0
130	1153	0.202502	0
131	1154	0.202963	0
132	1155	0.203132	0
133	1156	0.20323	0
134	1157	0.20325	0
135	1158	0.203193	0
136	1159	0.203183	0
137	1160	0.203225	0
138	1161	0.203074	0
139	1162	0.202954	0
140	1163	0.202982	0
141	1164	0.203142	0
142	1165	0.203209	0
143	1166	0.203412	0
144	1167	0.203703	0
145	1168	0.204045	0
146	1169	0.204504	0
147	1170	0.204959	0
