Start_Pos	End_Pos	Discriminant_Value	Distance from cutoff
1	198	0.300257	0.0602566
2	199	0.299366	0.0593656
3	200	0.298479	0.0584792
4	201	0.297597	0.0575975
5	202	0.29672	0.0567204
6	203	0.295848	0.0558479
7	204	0.29498	0.05498
8	205	0.294117	0.0541168
9	206	0.293258	0.0532582
10	207	0.292404	0.0524043
11	208	0.291555	0.0515549
12	209	0.29071	0.0507102
13	210	0.28987	0.0498701
14	211	0.289035	0.0490347
15	212	0.288204	0.0482039
16	213	0.287378	0.0473777
17	214	0.286556	0.0465561
18	215	0.285739	0.0457392
19	216	0.284927	0.0449269
20	217	0.284119	0.0441192
21	218	0.283316	0.0433162
22	219	0.282518	0.0425178
23	220	0.281724	0.041724
24	221	0.280935	0.0409349
25	222	0.28015	0.0401503
26	223	0.27937	0.0393704
27	224	0.278595	0.0385952
28	225	0.277825	0.0378245
29	226	0.277059	0.0370585
30	227	0.276297	0.0362972
31	228	0.27554	0.0355404
32	229	0.274788	0.0347883
33	230	0.274041	0.0340408
34	231	0.273298	0.033298
35	232	0.27256	0.0325597
36	233	0.271826	0.0318261
37	234	0.271097	0.0310972
38	235	0.270373	0.0303728
39	236	0.269653	0.0296531
40	237	0.268938	0.028938
41	238	0.268228	0.0282276
42	239	0.267522	0.0275218
43	240	0.266821	0.0268206
44	241	0.266124	0.026124
45	242	0.265432	0.0254321
46	243	0.264745	0.0247448
47	244	0.264062	0.0240621
48	245	0.263384	0.0233841
49	246	0.262711	0.0227106
50	247	0.262042	0.0220419
51	248	0.261378	0.0213777
52	249	0.260718	0.0207182
53	250	0.260063	0.0200633
54	251	0.259413	0.019413
55	252	0.258767	0.0187674
56	253	0.258126	0.0181264
57	254	0.25749	0.01749
58	255	0.256858	0.0168582
59	256	0.256231	0.0162311
60	257	0.255609	0.0156086
61	258	0.254991	0.0149908
62	259	0.254378	0.0143775
63	260	0.253769	0.0137689
64	261	0.253165	0.013165
65	262	0.252566	0.0125656
66	263	0.251971	0.0119709
67	264	0.251381	0.0113808
68	265	0.250795	0.0107954
69	266	0.250215	0.0102145
70	267	0.249638	0.00963833
71	268	0.249067	0.00906677
72	269	0.2485	0.00849983
73	270	0.247938	0.00793752
74	271	0.24738	0.00737984
75	272	0.246827	0.00682679
76	273	0.246278	0.00627837
77	274	0.245735	0.00573458
78	275	0.245195	0.00519542
79	276	0.244661	0.00466089
80	277	0.244131	0.00413099
81	278	0.243606	0.00360572
82	279	0.243085	0.00308507
83	280	0.242569	0.00256906
84	281	0.242058	0.00205767
85	282	0.241551	0.00155092
86	283	0.241049	0.00104879
87	284	0.240551	0.000551297
88	285	0.240058	5.84306e-05
89	286	0.23957	-0.000429807
90	287	0.239087	-0.000913414
91	288	0.238608	-0.00139239
92	289	0.238133	-0.00186674
93	290	0.237664	-0.00233646
94	291	0.237198	-0.00280155
95	292	0.236738	-0.00326201
96	293	0.236282	-0.00371784
97	294	0.235831	-0.00416904
98	295	0.235384	-0.00461562
99	296	0.234942	-0.00505756
100	297	0.234505	-0.00549487
101	298	0.234072	-0.00592756
102	299	0.233644	-0.00635561
103	300	0.233221	-0.00677903
104	301	0.232802	-0.00719783
105	302	0.232388	-0.007612
106	303	0.231978	-0.00802153
107	304	0.231574	-0.00842644
108	305	0.231173	-0.00882672
109	306	0.230778	-0.00922237
110	307	0.230387	-0.00961338
111	308	0.23	-0.00999977
112	309	0.229618	-0.0103815
113	310	0.229241	-0.0107587
114	311	0.228869	-0.0111312
115	312	0.228501	-0.011499
116	313	0.228138	-0.0118623
117	314	0.227779	-0.0122209
118	315	0.227425	-0.0125749
119	316	0.227076	-0.0129242
120	317	0.226731	-0.013269
121	318	0.226391	-0.013609
122	319	0.226055	-0.0139445
123	320	0.225725	-0.0142753
124	321	0.225398	-0.0146016
125	322	0.225077	-0.0149231
126	323	0.22476	-0.0152401
127	324	0.224448	-0.0155524
128	325	0.22414	-0.0158601
129	326	0.223837	-0.0161631
130	327	0.223538	-0.0164616
131	328	0.223245	-0.0167554
132	329	0.222955	-0.0170445
133	330	0.222671	-0.0173291
134	331	0.222391	-0.017609
135	332	0.222116	-0.0178843
136	333	0.221845	-0.0181549
137	334	0.221579	-0.018421
138	335	0.221318	-0.0186824
139	336	0.221061	-0.0189391
140	337	0.220809	-0.0191913
141	338	0.220561	-0.0194388
142	339	0.220318	-0.0196816
143	340	0.22008	-0.0199199
144	341	0.219846	-0.0201535
145	342	0.219618	-0.0203825
146	343	0.219393	-0.0206068
147	344	0.219173	-0.0208266
148	345	0.218958	-0.0210417
149	346	0.218748	-0.0212521
150	347	0.218542	-0.021458
151	348	0.218341	-0.0216592
152	349	0.218144	-0.0218558
153	350	0.217952	-0.0220477
154	351	0.217765	-0.0222351
155	352	0.217582	-0.0224178
156	353	0.217404	-0.0225958
157	354	0.217231	-0.0227693
158	355	0.217062	-0.0229381
159	356	0.216898	-0.0231022
160	357	0.216738	-0.0232618
161	358	0.216583	-0.0234167
162	359	0.216433	-0.023567
163	360	0.216287	-0.0237126
164	361	0.216146	-0.0238537
165	362	0.21601	-0.0239901
166	363	0.215878	-0.0241218
167	364	0.215751	-0.024249
168	365	0.215629	-0.0243715
169	366	0.215511	-0.0244894
170	367	0.215397	-0.0246026
171	368	0.215289	-0.0247112
172	369	0.215185	-0.0248152
173	370	0.215085	-0.0249146
174	371	0.214991	-0.0250093
175	372	0.214901	-0.0250994
176	373	0.214815	-0.0251849
177	374	0.214734	-0.0252658
178	375	0.214658	-0.025342
179	376	0.214586	-0.0254136
180	377	0.214519	-0.0254805
181	378	0.214457	-0.0255429
182	379	0.214399	-0.0256006
183	380	0.214346	-0.0256536
184	381	0.214298	-0.0257021
185	382	0.214254	-0.0257459
186	383	0.214215	-0.0257851
187	384	0.21418	-0.0258196
188	385	0.21415	-0.0258495
189	386	0.214125	-0.0258748
190	387	0.214105	-0.0258955
191	388	0.214088	-0.0259115
192	389	0.214077	-0.0259229
193	390	0.21407	-0.0259297
194	391	0.214068	-0.0259318
195	392	0.214071	-0.0259294
196	393	0.214078	-0.0259222
197	394	0.21409	-0.0259105
198	395	0.214106	-0.0258941
199	396	0.214127	-0.0258731
200	397	0.214153	-0.0258475
201	398	0.214055	-0.0259446
202	399	0.213986	-0.0260137
203	400	0.213947	-0.0260533
204	401	0.213929	-0.0260708
205	402	0.213947	-0.0260527
206	403	0.213961	-0.0260386
207	404	0.214004	-0.0259957
208	405	0.214044	-0.0259563
209	406	0.214085	-0.0259146
210	407	0.214134	-0.0258659
211	408	0.214178	-0.0258218
212	409	0.214258	-0.0257416
213	410	0.214331	-0.0256686
214	411	0.21441	-0.0255902
215	412	0.214533	-0.0254671
216	413	0.2147	-0.0253002
217	414	0.214872	-0.0251278
218	415	0.215067	-0.0249332
219	416	0.215247	-0.0247532
220	417	0.215447	-0.0245526
221	418	0.21567	-0.0243298
222	419	0.215861	-0.0241387
223	420	0.216052	-0.0239479
224	421	0.216245	-0.0237548
225	422	0.216444	-0.0235559
226	423	0.216624	-0.0233758
227	424	0.21682	-0.0231798
228	425	0.217029	-0.0229711
229	426	0.217272	-0.0227277
230	427	0.217532	-0.0224683
231	428	0.217772	-0.0222276
232	429	0.217989	-0.0220114
233	430	0.21823	-0.0217698
234	431	0.218469	-0.0215308
235	432	0.218715	-0.0212847
236	433	0.218966	-0.0210342
237	434	0.219213	-0.0207874
238	435	0.21949	-0.0205095
239	436	0.219756	-0.020244
240	437	0.220034	-0.0199655
241	438	0.220292	-0.0197083
242	439	0.220582	-0.0194181
243	440	0.220888	-0.019112
244	441	0.221208	-0.0187923
245	442	0.221569	-0.0184307
246	443	0.221906	-0.0180945
247	444	0.222238	-0.017762
