Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	384	0.108313	0
2	385	0.108579	0
3	386	0.108846	0
4	387	0.109113	0
5	388	0.109382	0
6	389	0.109651	0
7	390	0.109922	0
8	391	0.110193	0
9	392	0.110465	0
10	393	0.110738	0
11	394	0.111012	0
12	395	0.111287	0
13	396	0.111563	0
14	397	0.11184	0
15	398	0.112117	0
16	399	0.112396	0
17	400	0.112675	0
18	401	0.112956	0
19	402	0.113237	0
20	403	0.113519	0
21	404	0.113803	0
22	405	0.114087	0
23	406	0.114372	0
24	407	0.114658	0
25	408	0.114944	0
26	409	0.115232	0
27	410	0.115521	0
28	411	0.11581	0
29	412	0.116101	0
30	413	0.116392	0
31	414	0.116685	0
32	415	0.116978	0
33	416	0.117272	0
34	417	0.117567	0
35	418	0.117863	0
36	419	0.11816	0
37	420	0.118458	0
38	421	0.118757	0
39	422	0.119057	0
40	423	0.119357	0
41	424	0.119659	0
42	425	0.119961	0
43	426	0.120265	0
44	427	0.120569	0
45	428	0.120874	0
46	429	0.12118	0
47	430	0.121487	0
48	431	0.121795	0
49	432	0.122104	0
50	433	0.122414	0
51	434	0.122725	0
52	435	0.123037	0
53	436	0.123491	0
54	437	0.123984	0
55	438	0.124466	0
56	439	0.124963	0
57	440	0.125431	0
58	441	0.125837	0
59	442	0.126247	0
60	443	0.126593	0
61	444	0.12698	0
62	445	0.127345	0
63	446	0.127707	0
64	447	0.127976	0
65	448	0.128233	0
66	449	0.128536	0
67	450	0.128827	0
68	451	0.129102	0
69	452	0.129359	0
70	453	0.12962	0
71	454	0.129848	0
72	455	0.130067	0
73	456	0.13029	0
74	457	0.130553	0
75	458	0.13087	0
76	459	0.131175	0
77	460	0.131494	0
78	461	0.131802	0
79	462	0.132117	0
80	463	0.132398	0
81	464	0.132649	0
82	465	0.132938	0
83	466	0.133235	0
84	467	0.133521	0
85	468	0.133792	0
86	469	0.134084	0
87	470	0.134336	0
88	471	0.134597	0
89	472	0.134888	0
90	473	0.135157	0
91	474	0.135374	0
92	475	0.13557	0
93	476	0.135745	0
94	477	0.135931	0
95	478	0.136077	0
96	479	0.136218	0
97	480	0.136363	0
98	481	0.136485	0
99	482	0.136619	0
100	483	0.136737	0
101	484	0.136814	0
102	485	0.136836	0
103	486	0.13687	0
104	487	0.136878	0
105	488	0.136875	0
106	489	0.136857	0
107	490	0.136796	0
108	491	0.136735	0
109	492	0.136688	0
110	493	0.136655	0
111	494	0.136626	0
112	495	0.136626	0
113	496	0.136622	0
114	497	0.136614	0
115	498	0.136612	0
116	499	0.136656	0
117	500	0.136778	0
118	501	0.136877	0
119	502	0.136995	0
120	503	0.137071	0
121	504	0.137132	0
122	505	0.137187	0
123	506	0.137231	0
124	507	0.137275	0
125	508	0.137316	0
126	509	0.137355	0
127	510	0.137403	0
128	511	0.137415	0
129	512	0.137454	0
130	513	0.137529	0
131	514	0.137604	0
132	515	0.137637	0
133	516	0.137699	0
134	517	0.137783	0
135	518	0.13786	0
136	519	0.137953	0
137	520	0.138081	0
138	521	0.13821	0
139	522	0.138399	0
140	523	0.138782	0
141	524	0.139161	0
142	525	0.139533	0
143	526	0.139882	0
144	527	0.140193	0
145	528	0.140453	0
146	529	0.140682	0
147	530	0.140916	0
148	531	0.141181	0
149	532	0.141463	0
150	533	0.141736	0
151	534	0.142011	0
152	535	0.142267	0
153	536	0.142525	0
154	537	0.142783	0
155	538	0.143032	0
156	539	0.143305	0
157	540	0.143538	0
158	541	0.143752	0
159	542	0.143963	0
160	543	0.144177	0
161	544	0.144427	0
162	545	0.144665	0
163	546	0.144928	0
164	547	0.14519	0
165	548	0.145458	0
166	549	0.145751	0
167	550	0.146084	0
168	551	0.146408	0
169	552	0.146732	0
170	553	0.147043	0
171	554	0.14733	0
172	555	0.147629	0
173	556	0.14795	0
174	557	0.148288	0
175	558	0.148639	0
176	559	0.149022	0
177	560	0.149422	0
178	561	0.149753	0
179	562	0.150072	0
180	563	0.150386	0
181	564	0.150666	0
182	565	0.150929	0
183	566	0.151168	0
184	567	0.151398	0
185	568	0.151612	0
186	569	0.151817	0
187	570	0.151998	0
188	571	0.152153	0
189	572	0.152262	0
190	573	0.152396	0
191	574	0.152529	0
192	575	0.152639	0
193	576	0.152748	0
194	577	0.152862	0
195	578	0.152946	0
196	579	0.152998	0
197	580	0.153017	0
198	581	0.153052	0
199	582	0.153093	0
200	583	0.153112	0
201	584	0.153088	0
202	585	0.153012	0
203	586	0.152919	0
204	587	0.15283	0
205	588	0.15273	0
206	589	0.152593	0
207	590	0.152463	0
208	591	0.152307	0
209	592	0.152142	0
210	593	0.151969	0
211	594	0.151776	0
212	595	0.151517	0
213	596	0.151242	0
214	597	0.150989	0
215	598	0.150748	0
216	599	0.150493	0
217	600	0.150275	0
218	601	0.150038	0
219	602	0.149771	0
220	603	0.14944	0
221	604	0.149119	0
222	605	0.148789	0
223	606	0.148497	0
224	607	0.148198	0
225	608	0.147914	0
226	609	0.147626	0
227	610	0.147397	0
228	611	0.147186	0
229	612	0.146958	0
230	613	0.146718	0
231	614	0.146548	0
232	615	0.146413	0
233	616	0.146278	0
234	617	0.146124	0
235	618	0.145985	0
236	619	0.14583	0
237	620	0.14566	0
238	621	0.145509	0
239	622	0.145346	0
240	623	0.145195	0
241	624	0.145036	0
242	625	0.144842	0
243	626	0.144404	0
244	627	0.143937	0
245	628	0.143434	0
246	629	0.14296	0
247	630	0.142466	0
248	631	0.141982	0
249	632	0.141507	0
250	633	0.141063	0
251	634	0.140669	0
252	635	0.140246	0
253	636	0.139813	0
254	637	0.139386	0
255	638	0.138985	0
256	639	0.138595	0
257	640	0.138217	0
258	641	0.137843	0
259	642	0.137429	0
260	643	0.137024	0
261	644	0.136633	0
262	645	0.136271	0
263	646	0.135927	0
264	647	0.135588	0
265	648	0.135281	0
266	649	0.135	0
267	650	0.134715	0
268	651	0.134434	0
269	652	0.134095	0
270	653	0.133783	0
271	654	0.133512	0
272	655	0.133243	0
273	656	0.132995	0
274	657	0.132821	0
275	658	0.132693	0
276	659	0.13256	0
277	660	0.132468	0
278	661	0.132414	0
279	662	0.132367	0
280	663	0.132309	0
281	664	0.132269	0
282	665	0.132254	0
283	666	0.132268	0
284	667	0.132275	0
285	668	0.132311	0
286	669	0.132399	0
287	670	0.132528	0
288	671	0.132664	0
289	672	0.132799	0
290	673	0.132961	0
291	674	0.133129	0
292	675	0.133307	0
293	676	0.133456	0
294	677	0.133636	0
295	678	0.133779	0
296	679	0.133889	0
297	680	0.133979	0
298	681	0.134091	0
299	682	0.134224	0
300	683	0.134392	0
301	684	0.134558	0
302	685	0.134692	0
303	686	0.134802	0
304	687	0.134949	0
305	688	0.135087	0
306	689	0.135209	0
307	690	0.135338	0
308	691	0.135477	0
309	692	0.135686	0
310	693	0.135882	0
311	694	0.136083	0
312	695	0.13629	0
313	696	0.136492	0
314	697	0.136725	0
315	698	0.136996	0
316	699	0.137282	0
317	700	0.137575	0
318	701	0.137856	0
319	702	0.138174	0
320	703	0.138478	0
321	704	0.138799	0
322	705	0.139139	0
323	706	0.139496	0
324	707	0.139848	0
325	708	0.140218	0
326	709	0.140567	0
327	710	0.140896	0
328	711	0.141236	0
329	712	0.141592	0
330	713	0.141911	0
331	714	0.14219	0
332	715	0.142508	0
333	716	0.14281	0
334	717	0.143076	0
335	718	0.14329	0
336	719	0.143463	0
337	720	0.143618	0
338	721	0.143794	0
339	722	0.143954	0
340	723	0.144062	0
341	724	0.144163	0
342	725	0.144305	0
343	726	0.144419	0
344	727	0.144566	0
345	728	0.144698	0
346	729	0.144852	0
347	730	0.145013	0
348	731	0.145186	0
349	732	0.145338	0
350	733	0.145485	0
351	734	0.14565	0
352	735	0.145823	0
353	736	0.146001	0
354	737	0.146139	0
355	738	0.146326	0
356	739	0.146513	0
357	740	0.146671	0
358	741	0.14683	0
359	742	0.146929	0
360	743	0.147017	0
361	744	0.147088	0
362	745	0.147127	0
363	746	0.14719	0
364	747	0.147307	0
365	748	0.147389	0
366	749	0.147472	0
367	750	0.147582	0
368	751	0.147661	0
369	752	0.147761	0
370	753	0.147864	0
371	754	0.147924	0
372	755	0.148049	0
373	756	0.148326	0
374	757	0.148593	0
375	758	0.148871	0
376	759	0.149132	0
377	760	0.149375	0
378	761	0.149559	0
379	762	0.149717	0
380	763	0.149861	0
381	764	0.149965	0
382	765	0.150039	0
383	766	0.15011	0
384	767	0.150182	0
385	768	0.150247	0
386	769	0.150285	0
387	770	0.150327	0
388	771	0.15033	0
389	772	0.150314	0
390	773	0.150268	0
391	774	0.150214	0
392	775	0.150165	0
393	776	0.150119	0
394	777	0.150075	0
395	778	0.150028	0
396	779	0.149941	0
397	780	0.149839	0
398	781	0.149751	0
399	782	0.149654	0
400	783	0.149565	0
401	784	0.149427	0
402	785	0.149234	0
403	786	0.149024	0
404	787	0.148775	0
405	788	0.148525	0
406	789	0.148251	0
407	790	0.147923	0
408	791	0.147586	0
409	792	0.147252	0
410	793	0.146958	0
411	794	0.146705	0
412	795	0.146346	0
413	796	0.145995	0
414	797	0.145638	0
415	798	0.145277	0
416	799	0.144925	0
417	800	0.144538	0
418	801	0.144141	0
419	802	0.143729	0
420	803	0.143316	0
421	804	0.142909	0
422	805	0.142485	0
423	806	0.142028	0
424	807	0.141563	0
425	808	0.141102	0
426	809	0.140689	0
427	810	0.140288	0
428	811	0.139876	0
429	812	0.139498	0
430	813	0.139139	0
431	814	0.138784	0
432	815	0.138411	0
433	816	0.138031	0
434	817	0.137652	0
435	818	0.137258	0
436	819	0.136865	0
437	820	0.136484	0
438	821	0.136109	0
439	822	0.135794	0
440	823	0.135503	0
441	824	0.135207	0
442	825	0.134961	0
443	826	0.134758	0
444	827	0.134557	0
445	828	0.13432	0
446	829	0.134109	0
447	830	0.133911	0
448	831	0.133761	0
449	832	0.133628	0
450	833	0.133498	0
451	834	0.133369	0
452	835	0.133226	0
453	836	0.133085	0
454	837	0.132948	0
455	838	0.132838	0
456	839	0.13272	0
457	840	0.132621	0
458	841	0.132501	0
459	842	0.132321	0
460	843	0.132131	0
461	844	0.131926	0
462	845	0.131762	0
463	846	0.131593	0
464	847	0.131415	0
465	848	0.131266	0
466	849	0.131118	0
467	850	0.130972	0
468	851	0.130875	0
469	852	0.130803	0
470	853	0.130709	0
471	854	0.13064	0
472	855	0.130564	0
473	856	0.130521	0
474	857	0.130545	0
475	858	0.130624	0
476	859	0.130534	0
477	860	0.130437	0
478	861	0.130329	0
479	862	0.13027	0
480	863	0.130226	0
481	864	0.130189	0
482	865	0.130196	0
483	866	0.130165	0
484	867	0.130149	0
485	868	0.13022	0
486	869	0.130302	0
487	870	0.130383	0
488	871	0.130501	0
489	872	0.13063	0
490	873	0.1308	0
491	874	0.13101	0
492	875	0.131223	0
493	876	0.131423	0
494	877	0.131592	0
495	878	0.131757	0
496	879	0.131852	0
497	880	0.131964	0
498	881	0.132078	0
499	882	0.132227	0
500	883	0.132349	0
501	884	0.132429	0
502	885	0.132493	0
503	886	0.132516	0
504	887	0.13257	0
505	888	0.132642	0
506	889	0.132735	0
507	890	0.132824	0
508	891	0.132911	0
509	892	0.133008	0
510	893	0.13313	0
511	894	0.133266	0
512	895	0.133448	0
513	896	0.133574	0
514	897	0.133639	0
515	898	0.133713	0
516	899	0.133812	0
517	900	0.1339	0
518	901	0.133963	0
519	902	0.134014	0
