Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	1024	-0.0566049	0
2	1025	-0.0567473	0
3	1026	-0.0568613	0
4	1027	-0.0569472	0
5	1028	-0.0570047	0
6	1029	-0.057034	0
7	1030	-0.0570349	0
8	1031	-0.0570076	0
9	1032	-0.056952	0
10	1033	-0.0568682	0
11	1034	-0.056756	0
12	1035	-0.0566156	0
13	1036	-0.0563487	0
14	1037	-0.0560277	0
15	1038	-0.0557796	0
16	1039	-0.0556207	0
17	1040	-0.0553504	0
18	1041	-0.0551043	0
19	1042	-0.0547769	0
20	1043	-0.0544511	0
21	1044	-0.0541536	0
22	1045	-0.0538754	0
23	1046	-0.0536011	0
24	1047	-0.053388	0
25	1048	-0.0532514	0
26	1049	-0.0531975	0
27	1050	-0.0532419	0
28	1051	-0.053229	0
29	1052	-0.05328	0
30	1053	-0.053309	0
31	1054	-0.0533923	0
32	1055	-0.0534833	0
33	1056	-0.053557	0
34	1057	-0.0535855	0
35	1058	-0.0536253	0
36	1059	-0.0536721	0
37	1060	-0.053727	0
38	1061	-0.0537886	0
39	1062	-0.0537005	0
40	1063	-0.0536047	0
41	1064	-0.053568	0
42	1065	-0.0535213	0
43	1066	-0.0535013	0
44	1067	-0.0534856	0
45	1068	-0.0535173	0
46	1069	-0.0535792	0
47	1070	-0.0536964	0
48	1071	-0.0537745	0
49	1072	-0.0539203	0
50	1073	-0.0539096	0
51	1074	-0.0539686	0
52	1075	-0.0541161	0
53	1076	-0.0544035	0
54	1077	-0.0547242	0
55	1078	-0.0550063	0
56	1079	-0.0553454	0
57	1080	-0.0557192	0
58	1081	-0.0560784	0
59	1082	-0.0563833	0
60	1083	-0.0565927	0
61	1084	-0.0565974	0
62	1085	-0.05667	0
63	1086	-0.0567387	0
64	1087	-0.0566736	0
65	1088	-0.0564931	0
66	1089	-0.0561721	0
67	1090	-0.0557913	0
68	1091	-0.0553244	0
69	1092	-0.0548777	0
70	1093	-0.054434	0
