Start_Pos	End_Pos	Discriminant_Value	Distance from cutoff
3075	3274	0.190053	-0.0499473
3076	3275	0.190584	-0.0494163
3077	3276	0.191089	-0.0489112
3078	3277	0.191567	-0.0484329
3079	3278	0.192011	-0.0479891
3080	3279	0.192459	-0.047541
3081	3280	0.192869	-0.0471306
3082	3281	0.193269	-0.0467313
3083	3282	0.19365	-0.0463503
3084	3283	0.194021	-0.0459795
3085	3284	0.194322	-0.0456784
3086	3285	0.194504	-0.0454957
3087	3286	0.194679	-0.0453209
3088	3287	0.194842	-0.0451576
3089	3288	0.194927	-0.0450734
3090	3289	0.194986	-0.045014
3091	3290	0.195029	-0.0449713
3092	3291	0.195061	-0.0449391
3093	3292	0.195079	-0.0449206
3094	3293	0.19507	-0.0449304
3095	3294	0.195035	-0.0449647
3096	3295	0.194972	-0.045028
3097	3296	0.194845	-0.0451553
3098	3297	0.194722	-0.045278
3099	3298	0.194535	-0.0454652
3100	3299	0.194331	-0.0456688
3101	3300	0.194105	-0.0458955
3102	3301	0.193853	-0.0461467
3103	3302	0.193665	-0.0463354
3104	3303	0.193456	-0.0465437
3105	3304	0.193209	-0.0467905
3106	3305	0.192948	-0.0470518
3107	3306	0.192672	-0.0473282
3108	3307	0.19238	-0.0476203
3109	3308	0.192085	-0.0479153
3110	3309	0.191713	-0.0482869
3111	3310	0.191311	-0.0486894
3112	3311	0.190978	-0.0490224
3113	3312	0.190631	-0.0493688
3114	3313	0.190253	-0.0497466
12801	13000	0.190387	-0.0496135
12802	13001	0.190839	-0.0491609
12803	13002	0.191274	-0.0487262
12804	13003	0.191671	-0.0483295
12805	13004	0.192068	-0.0479316
12806	13005	0.192462	-0.047538
12807	13006	0.192849	-0.0471512
12808	13007	0.193179	-0.0468212
12809	13008	0.193503	-0.0464973
12810	13009	0.193827	-0.0461732
12811	13010	0.194178	-0.0458224
12812	13011	0.194553	-0.0454473
12813	13012	0.194856	-0.0451439
12814	13013	0.195113	-0.0448869
12815	13014	0.195386	-0.0446137
12816	13015	0.195619	-0.044381
12817	13016	0.19585	-0.0441495
12818	13017	0.19611	-0.0438904
12819	13018	0.196368	-0.0436319
12820	13019	0.196594	-0.0434057
12821	13020	0.196848	-0.0431523
12822	13021	0.197086	-0.0429142
12823	13022	0.19728	-0.0427201
12824	13023	0.19747	-0.0425302
12825	13024	0.197655	-0.0423448
12826	13025	0.197783	-0.0422172
12827	13026	0.19789	-0.0421102
12828	13027	0.197962	-0.0420384
12829	13028	0.198017	-0.041983
12830	13029	0.198006	-0.0419944
12831	13030	0.197985	-0.0420148
12832	13031	0.197975	-0.0420254
12833	13032	0.197968	-0.0420318
12834	13033	0.198007	-0.0419931
12835	13034	0.198077	-0.0419233
12836	13035	0.19813	-0.0418703
12837	13036	0.198214	-0.0417857
12838	13037	0.198347	-0.0416529
12839	13038	0.198497	-0.0415031
12840	13039	0.19867	-0.0413303
12841	13040	0.198832	-0.0411678
12842	13041	0.198985	-0.041015
12843	13042	0.199151	-0.0408494
12844	13043	0.199282	-0.0407184
12845	13044	0.199432	-0.0405675
12846	13045	0.19957	-0.0404296
12847	13046	0.199709	-0.0402906
12848	13047	0.199855	-0.0401453
12849	13048	0.199987	-0.0400127
12850	13049	0.200112	-0.039888
12851	13050	0.200208	-0.0397919
12852	13051	0.200255	-0.0397451
12853	13052	0.200297	-0.0397027
12854	13053	0.200353	-0.0396474
12855	13054	0.200365	-0.0396355
12856	13055	0.200331	-0.0396691
12857	13056	0.2003	-0.0396998
12858	13057	0.200247	-0.0397529
12859	13058	0.200197	-0.0398035
12860	13059	0.200184	-0.0398159
12861	13060	0.200162	-0.0398384
12862	13061	0.200143	-0.0398566
12863	13062	0.200163	-0.0398368
12864	13063	0.200121	-0.0398792
12865	13064	0.200146	-0.0398544
12866	13065	0.200124	-0.0398759
12867	13066	0.199963	-0.0400371
12868	13067	0.199839	-0.0401612
12869	13068	0.199715	-0.0402847
12870	13069	0.199671	-0.0403292
12871	13070	0.19965	-0.0403502
12872	13071	0.199624	-0.0403759
12873	13072	0.199585	-0.0404146
12874	13073	0.199548	-0.0404515
12875	13074	0.199489	-0.040511
12876	13075	0.199426	-0.0405743
12877	13076	0.199347	-0.0406526
12878	13077	0.199259	-0.0407407
12879	13078	0.199178	-0.0408216
12880	13079	0.199088	-0.0409117
12881	13080	0.198966	-0.0410337
12882	13081	0.19878	-0.0412198
12883	13082	0.198561	-0.0414386
12884	13083	0.198394	-0.041606
12885	13084	0.198203	-0.0417972
12886	13085	0.197997	-0.0420033
12887	13086	0.197763	-0.0422369
12888	13087	0.197525	-0.0424746
12889	13088	0.197231	-0.0427687
12890	13089	0.196937	-0.0430632
12891	13090	0.196644	-0.0433558
12892	13091	0.196302	-0.0436982
12893	13092	0.195901	-0.0440994
12894	13093	0.195462	-0.0445378
12895	13094	0.19498	-0.0450196
12896	13095	0.194474	-0.0455263
12897	13096	0.193942	-0.0460583
12898	13097	0.193397	-0.0466035
12899	13098	0.192814	-0.0471855
12900	13099	0.192229	-0.0477708
12901	13100	0.191635	-0.0483649
12902	13101	0.19103	-0.0489701
12903	13102	0.190438	-0.0495618
