Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	200	0.367004	1
2	201	0.367744	1
3	202	0.368479	1
4	203	0.369208	1
5	204	0.369933	1
6	205	0.370652	1
7	206	0.371367	1
8	207	0.372076	1
9	208	0.372781	1
10	209	0.37348	1
11	210	0.374175	1
12	211	0.374864	1
13	212	0.375548	1
14	213	0.376228	1
15	214	0.376902	1
16	215	0.377571	1
17	216	0.378235	1
18	217	0.378894	1
19	218	0.379548	1
20	219	0.380197	1
21	220	0.380841	1
22	221	0.38148	1
23	222	0.382114	1
24	223	0.382743	1
25	224	0.383367	1
26	225	0.383985	1
27	226	0.384599	1
28	227	0.385208	1
29	228	0.385812	1
30	229	0.38641	1
31	230	0.387004	1
32	231	0.387592	1
33	232	0.388176	1
34	233	0.388754	1
35	234	0.389328	1
36	235	0.389896	1
37	236	0.39046	1
38	237	0.391018	1
39	238	0.391571	1
40	239	0.392119	1
41	240	0.392663	1
42	241	0.393201	1
43	242	0.393734	1
44	243	0.394262	1
45	244	0.394785	1
46	245	0.395303	1
47	246	0.395816	1
48	247	0.396324	1
49	248	0.396827	1
50	249	0.397325	1
51	250	0.397817	1
52	251	0.398305	1
53	252	0.398788	1
54	253	0.399266	1
55	254	0.399738	1
56	255	0.400206	1
57	256	0.400668	1
58	257	0.401126	1
59	258	0.401579	1
60	259	0.402026	1
61	260	0.402468	1
62	261	0.402906	1
63	262	0.403338	1
64	263	0.403765	1
65	264	0.404188	1
66	265	0.404605	1
67	266	0.405017	1
68	267	0.405424	1
69	268	0.405826	1
70	269	0.406223	1
71	270	0.406616	1
72	271	0.407003	1
73	272	0.407384	1
74	273	0.407761	1
75	274	0.408133	1
76	275	0.4085	1
77	276	0.408862	1
78	277	0.409219	1
79	278	0.40957	1
80	279	0.409917	1
81	280	0.410259	1
82	281	0.410595	1
83	282	0.410927	1
84	283	0.411253	1
85	284	0.411575	1
86	285	0.411891	1
87	286	0.412203	1
88	287	0.412509	1
89	288	0.412811	1
90	289	0.413107	1
91	290	0.413398	1
92	291	0.413684	1
93	292	0.413966	1
94	293	0.414242	1
95	294	0.414513	1
96	295	0.414779	1
97	296	0.41504	1
98	297	0.415296	1
99	298	0.415547	1
100	299	0.415793	1
