Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	1024	-0.0558883	0
2	1025	-0.0565932	0
3	1026	-0.0570711	0
4	1027	-0.0573525	0
5	1028	-0.0574679	0
6	1029	-0.057448	0
7	1030	-0.0573233	0
8	1031	-0.0571244	0
9	1032	-0.0569939	0
10	1033	-0.0566789	0
11	1034	-0.056457	0
12	1035	-0.0563368	0
13	1036	-0.0561975	0
14	1037	-0.0562049	0
15	1038	-0.0560285	0
16	1039	-0.05578	0
17	1040	-0.0554726	0
18	1041	-0.0551496	0
19	1042	-0.054828	0
20	1043	-0.054615	0
21	1044	-0.054299	0
22	1045	-0.0538774	0
23	1046	-0.0535239	0
24	1047	-0.0531592	0
25	1048	-0.0529635	0
26	1049	-0.0529235	0
27	1050	-0.0529225	0
28	1051	-0.052966	0
29	1052	-0.0530848	0
30	1053	-0.0532594	0
31	1054	-0.0535349	0
32	1055	-0.0537541	0
33	1056	-0.0539432	0
34	1057	-0.0539894	0
35	1058	-0.0539072	0
36	1059	-0.0538186	0
37	1060	-0.053767	0
38	1061	-0.0536332	0
39	1062	-0.0535256	0
40	1063	-0.0534023	0
41	1064	-0.05332	0
42	1065	-0.0533683	0
43	1066	-0.0534487	0
44	1067	-0.0535853	0
45	1068	-0.0537186	0
46	1069	-0.0537144	0
47	1070	-0.0537276	0
48	1071	-0.053709	0
49	1072	-0.0538908	0
50	1073	-0.0540184	0
51	1074	-0.0541301	0
52	1075	-0.054147	0
53	1076	-0.054326	0
54	1077	-0.0543933	0
55	1078	-0.0546076	0
56	1079	-0.0549842	0
57	1080	-0.0553751	0
58	1081	-0.0558361	0
59	1082	-0.0562459	0
60	1083	-0.056694	0
61	1084	-0.0570812	0
62	1085	-0.0573485	0
63	1086	-0.057418	0
64	1087	-0.0572017	0
65	1088	-0.0567016	0
66	1089	-0.0562273	0
67	1090	-0.0558592	0
68	1091	-0.0552133	0
69	1092	-0.0546349	0
70	1093	-0.0540419	0
71	1094	-0.0534745	0
72	1095	-0.0530141	0
73	1096	-0.0526912	0
74	1097	-0.0525966	0
75	1098	-0.0523891	0
76	1099	-0.0519979	0
77	1100	-0.0514696	0
78	1101	-0.0510819	0
79	1102	-0.0506996	0
80	1103	-0.0506852	0
81	1104	-0.0505875	0
82	1105	-0.0504309	0
83	1106	-0.0502275	0
84	1107	-0.0502062	0
85	1108	-0.0505531	0
86	1109	-0.0509843	0
87	1110	-0.0514949	0
88	1111	-0.051937	0
89	1112	-0.0521639	0
