Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	200	0.116522	0
2	201	0.114002	0
3	202	0.111492	0
4	203	0.108993	0
5	204	0.106504	0
6	205	0.104026	0
7	206	0.101558	0
8	207	0.0991006	0
9	208	0.0966537	0
10	209	0.0942172	0
11	210	0.0917913	0
12	211	0.0893758	0
13	212	0.0869707	0
14	213	0.0845762	0
15	214	0.0821921	0
16	215	0.0798185	0
17	216	0.0774554	0
18	217	0.0751028	0
19	218	0.0727606	0
20	219	0.0704289	0
21	220	0.0681077	0
22	221	0.065797	0
23	222	0.0634967	0
24	223	0.0612069	0
25	224	0.0589276	0
26	225	0.0566588	0
27	226	0.0544004	0
28	227	0.0521526	0
29	228	0.0499152	0
30	229	0.0476883	0
31	230	0.0454718	0
32	231	0.0432658	0
33	232	0.0410704	0
34	233	0.0388853	0
35	234	0.0367108	0
36	235	0.0345467	0
37	236	0.0323932	0
38	237	0.0302501	0
39	238	0.0281174	0
40	239	0.0259953	0
41	240	0.0238836	0
42	241	0.0217824	0
43	242	0.0196917	0
44	243	0.0176114	0
45	244	0.0155417	0
46	245	0.0134824	0
47	246	0.0114335	0
48	247	0.00939521	0
49	248	0.00736734	0
50	249	0.00534996	0
51	250	0.00334305	0
52	251	0.00134662	0
53	252	-0.00063934	0
54	253	-0.00261482	0
55	254	-0.00457982	0
56	255	-0.00653435	0
57	256	-0.0084784	0
58	257	-0.010412	0
59	258	-0.0123351	0
60	259	-0.0142477	0
61	260	-0.0161498	0
62	261	-0.0180415	0
63	262	-0.0199227	0
64	263	-0.0217934	0
65	264	-0.0236536	0
66	265	-0.0255034	0
67	266	-0.0273427	0
68	267	-0.0291715	0
69	268	-0.0309898	0
70	269	-0.0327977	0
71	270	-0.034595	0
72	271	-0.0363819	0
73	272	-0.0381583	0
74	273	-0.0399243	0
75	274	-0.0416798	0
76	275	-0.0434248	0
77	276	-0.0451593	0
78	277	-0.0468833	0
79	278	-0.0485969	0
80	279	-0.0503	0
81	280	-0.0519926	0
82	281	-0.0536747	0
83	282	-0.0553463	0
84	283	-0.0570075	0
85	284	-0.0586582	0
86	285	-0.0602984	0
87	286	-0.0619282	0
88	287	-0.0635475	0
89	288	-0.0651563	0
90	289	-0.0667546	0
91	290	-0.0683424	0
92	291	-0.0699198	0
93	292	-0.0714867	0
