Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	198	-0.00144545	0
2	199	-0.00130511	0
3	200	-0.00116577	0
4	201	-0.00102742	0
5	202	-0.000890077	0
6	203	-0.000753728	0
7	204	-0.000618376	0
8	205	-0.000484021	0
9	206	-0.000350664	0
10	207	-0.000218304	0
11	208	-8.69419e-05	0
12	209	4.34232e-05	0
13	210	0.000172791	0
14	211	0.000301162	0
15	212	0.000428535	0
16	213	0.000554911	0
17	214	0.000680289	0
18	215	0.00080467	0
19	216	0.000928054	0
20	217	0.00105044	0
21	218	0.00117183	0
22	219	0.00129222	0
23	220	0.00141162	0
24	221	0.00153001	0
25	222	0.00164741	0
26	223	0.00176382	0
27	224	0.00187922	0
28	225	0.00199363	0
29	226	0.00210704	0
30	227	0.00221945	0
31	228	0.00233087	0
32	229	0.00244129	0
33	230	0.00255071	0
34	231	0.00265913	0
35	232	0.00276656	0
36	233	0.00287299	0
37	234	0.00297842	0
38	235	0.00308286	0
39	236	0.00318629	0
40	237	0.00328873	0
41	238	0.00339018	0
42	239	0.00349062	0
43	240	0.00359007	0
44	241	0.00368852	0
45	242	0.00378597	0
46	243	0.00388243	0
47	244	0.00397789	0
48	245	0.00407235	0
49	246	0.00416581	0
50	247	0.00425828	0
51	248	0.00434975	0
52	249	0.00444022	0
53	250	0.0045297	0
54	251	0.00461817	0
55	252	0.00470565	0
56	253	0.00479214	0
57	254	0.00487762	0
58	255	0.00496211	0
59	256	0.0050456	0
60	257	0.00512809	0
61	258	0.00520959	0
62	259	0.00529009	0
63	260	0.00536959	0
64	261	0.0054481	0
65	262	0.0055256	0
66	263	0.00560211	0
67	264	0.00567762	0
68	265	0.00575214	0
69	266	0.00582566	0
70	267	0.00589818	0
71	268	0.0059697	0
72	269	0.00604022	0
73	270	0.00610975	0
74	271	0.00617828	0
75	272	0.00624582	0
76	273	0.00631235	0
77	274	0.00637789	0
78	275	0.00644243	0
79	276	0.00650598	0
80	277	0.00656853	0
81	278	0.00663008	0
82	279	0.00669063	0
83	280	0.00675018	0
84	281	0.00680874	0
85	282	0.0068663	0
86	283	0.00692286	0
87	284	0.00697843	0
88	285	0.007033	0
89	286	0.00708657	0
90	287	0.00713914	0
91	288	0.00719072	0
92	289	0.0072413	0
93	290	0.00729088	0
94	291	0.00733946	0
95	292	0.00738705	0
96	293	0.00743364	0
97	294	0.00747923	0
98	295	0.00752383	0
99	296	0.00756743	0
100	297	0.00761003	0
101	298	0.00765163	0
102	299	0.00769224	0
103	300	0.00773184	0
104	301	0.00777045	0
105	302	0.00780807	0
106	303	0.00784469	0
107	304	0.0078803	0
108	305	0.00791493	0
109	306	0.00794855	0
110	307	0.00798118	0
111	308	0.00801281	0
112	309	0.00804344	0
113	310	0.00807308	0
114	311	0.00810171	0
115	312	0.00812935	0
116	313	0.008156	0
117	314	0.00818164	0
118	315	0.00820629	0
119	316	0.00822994	0
120	317	0.0082526	0
121	318	0.00827425	0
122	319	0.00829491	0
123	320	0.00831457	0
124	321	0.00833324	0
125	322	0.00835091	0
126	323	0.00836758	0
127	324	0.00838325	0
128	325	0.00839792	0
129	326	0.0084116	0
130	327	0.00842428	0
131	328	0.00843597	0
132	329	0.00844665	0
133	330	0.00845634	0
134	331	0.00846503	0
135	332	0.00847273	0
136	333	0.00847942	0
137	334	0.00848512	0
138	335	0.00848982	0
139	336	0.00849353	0
140	337	0.00849624	0
141	338	0.00849795	0
142	339	0.00849866	0
143	340	0.00849837	0
144	341	0.00849709	0
145	342	0.00849481	0
146	343	0.00849154	0
147	344	0.00848726	0
148	345	0.00848199	0
149	346	0.00847572	0
150	347	0.00846846	0
151	348	0.00846019	0
152	349	0.00845093	0
153	350	0.00844068	0
154	351	0.00842942	0
155	352	0.00841717	0
156	353	0.00840392	0
157	354	0.00838967	0
158	355	0.00837443	0
159	356	0.00835818	0
160	357	0.00834095	0
161	358	0.00832271	0
162	359	0.00830348	0
163	360	0.00828324	0
164	361	0.00826202	0
165	362	0.00823979	0
166	363	0.00821657	0
167	364	0.00819235	0
168	365	0.00816713	0
169	366	0.00814091	0
170	367	0.0081137	0
171	368	0.00808549	0
172	369	0.00805628	0
173	370	0.00802608	0
174	371	0.00799488	0
175	372	0.00796268	0
176	373	0.00792948	0
177	374	0.00789529	0
178	375	0.0078601	0
179	376	0.00782391	0
180	377	0.00778672	0
181	378	0.00774854	0
182	379	0.00770936	0
183	380	0.00766918	0
184	381	0.00762801	0
185	382	0.00758584	0
186	383	0.00754267	0
187	384	0.0074985	0
188	385	0.00745334	0
189	386	0.00740717	0
190	387	0.00736001	0
191	388	0.00731186	0
192	389	0.00726271	0
193	390	0.00721255	0
194	391	0.00716141	0
195	392	0.00710926	0
196	393	0.00705612	0
197	394	0.00700198	0
198	395	0.00694684	0
199	396	0.0068907	0
200	397	0.00683357	0
201	398	0.00678327	0
202	399	0.00674549	0
203	400	0.00669535	0
204	401	0.00664116	0
205	402	0.00656449	0
206	403	0.0064645	0
207	404	0.00635681	0
208	405	0.00628665	0
209	406	0.00621325	0
210	407	0.00613255	0
211	408	0.00605406	0
212	409	0.00600102	0
213	410	0.00593605	0
214	411	0.0058749	0
215	412	0.00581329	0
216	413	0.00574054	0
217	414	0.00568436	0
218	415	0.00560243	0
219	416	0.00550067	0
220	417	0.00539687	0
221	418	0.00527318	0
222	419	0.00515347	0
223	420	0.00505326	0
224	421	0.00494723	0
225	422	0.00502692	0
226	423	0.00510936	0
227	424	0.00521724	0
228	425	0.00531903	0
229	426	0.00539455	0
230	427	0.00546742	0
231	428	0.00553729	0
232	429	0.00559959	0
233	430	0.00565673	0
234	431	0.00570386	0
235	432	0.0057798	0
236	433	0.00585617	0
237	434	0.00588319	0
238	435	0.00591018	0
239	436	0.00592838	0
240	437	0.00597647	0
241	438	0.0060096	0
242	439	0.0060692	0
243	440	0.00615765	0
244	441	0.00623253	0
245	442	0.00629131	0
246	443	0.00636165	0
247	444	0.00643022	0
248	445	0.00649485	0
249	446	0.00655132	0
250	447	0.00659034	0
251	448	0.00663461	0
252	449	0.00671202	0
253	450	0.00679449	0
254	451	0.00687022	0
255	452	0.00693781	0
256	453	0.00702675	0
257	454	0.00709428	0
258	455	0.00717125	0
259	456	0.00727951	0
260	457	0.00741866	0
261	458	0.00751729	0
262	459	0.00758666	0
263	460	0.00762765	0
264	461	0.0076569	0
265	462	0.00766922	0
266	463	0.00768438	0
267	464	0.00772094	0
268	465	0.0077861	0
269	466	0.0078746	0
270	467	0.00793623	0
271	468	0.00799172	0
272	469	0.00804541	0
273	470	0.00815864	0
274	471	0.00825653	0
275	472	0.0083434	0
276	473	0.00843301	0
277	474	0.00856177	0
278	475	0.00867318	0
279	476	0.00877039	0
280	477	0.00884305	0
281	478	0.00889959	0
282	479	0.00894247	0
283	480	0.00895621	0
284	481	0.00898486	0
285	482	0.00902449	0
286	483	0.00904812	0
287	484	0.00906418	0
288	485	0.00904717	0
289	486	0.00902407	0
290	487	0.00894177	0
291	488	0.0088616	0
292	489	0.00878738	0
293	490	0.00871338	0
294	491	0.00861093	0
295	492	0.008507	0
296	493	0.00837601	0
297	494	0.00825284	0
298	495	0.00810821	0
299	496	0.00794893	0
300	497	0.0077861	0
301	498	0.00761625	0
302	499	0.00738646	0
303	500	0.00714832	0
304	501	0.00687197	0
305	502	0.00663949	0
306	503	0.00641551	0
307	504	0.00616121	0
308	505	0.00590542	0
309	506	0.00559079	0
310	507	0.00522181	0
311	508	0.00479857	0
312	509	0.00437548	0
313	510	0.00394848	0
314	511	0.00351052	0
315	512	0.00306299	0
316	513	0.002624	0
317	514	0.00218957	0
318	515	0.00170305	0
319	516	0.00121851	0
320	517	0.000707011	0
321	518	0.000189618	0
322	519	-0.000331227	0
323	520	-0.000843638	0
324	521	-0.00134548	0
325	522	-0.00181909	0
326	523	-0.00229276	0
327	524	-0.00280012	0
328	525	-0.00330394	0
329	526	-0.00379527	0
330	527	-0.00426775	0
331	528	-0.00471272	0
332	529	-0.00516452	0
333	530	-0.00566006	0
334	531	-0.00616448	0
335	532	-0.0066553	0
336	533	-0.00714432	0
337	534	-0.00768033	0
338	535	-0.00822374	0
339	536	-0.00878548	0
340	537	-0.00935248	0
341	538	-0.00991812	0
342	539	-0.0104882	0
343	540	-0.0110541	0
344	541	-0.011609	0
345	542	-0.0121735	0
346	543	-0.0127614	0
347	544	-0.0133389	0
348	545	-0.0139047	0
349	546	-0.0144739	0
350	547	-0.0150664	0
351	548	-0.0156529	0
352	549	-0.0162542	0
353	550	-0.0168659	0
354	551	-0.0174896	0
355	552	-0.0181157	0
356	553	-0.0187107	0
357	554	-0.0192973	0
358	555	-0.0199099	0
359	556	-0.0204777	0
360	557	-0.0210832	0
361	558	-0.0216972	0
362	559	-0.0223142	0
363	560	-0.0229641	0
364	561	-0.023617	0
365	562	-0.0242765	0
366	563	-0.024938	0
367	564	-0.0256106	0
368	565	-0.0262865	0
369	566	-0.0269639	0
370	567	-0.0276421	0
371	568	-0.0283472	0
372	569	-0.0290511	0
373	570	-0.029737	0
374	571	-0.030422	0
375	572	-0.0311123	0
376	573	-0.0317795	0
377	574	-0.0324416	0
378	575	-0.033098	0
379	576	-0.0337954	0
380	577	-0.0345011	0
381	578	-0.0352534	0
382	579	-0.036004	0
383	580	-0.0367736	0
384	581	-0.0375409	0
385	582	-0.038204	0
386	583	-0.0388637	0
387	584	-0.0395001	0
388	585	-0.0400986	0
389	586	-0.0406969	0
390	587	-0.0412684	0
391	588	-0.0418577	0
392	589	-0.0424082	0
393	590	-0.0429912	0
394	591	-0.04361	0
395	592	-0.0442197	0
396	593	-0.0446406	0
397	594	-0.0450531	0
398	595	-0.0454595	0
399	596	-0.0458269	0
400	597	-0.046209	0
401	598	-0.0465842	0
402	599	-0.0469477	0
403	600	-0.0472962	0
404	601	-0.047674	0
405	602	-0.0480353	0
406	603	-0.0484032	0
407	604	-0.0487735	0
408	605	-0.0491345	0
409	606	-0.0494888	0
410	607	-0.049855	0
411	608	-0.0502039	0
412	609	-0.0505554	0
413	610	-0.050876	0
414	611	-0.0511943	0
415	612	-0.0515094	0
416	613	-0.0518295	0
417	614	-0.0521308	0
418	615	-0.0524236	0
419	616	-0.0526902	0
420	617	-0.0529546	0
421	618	-0.0532231	0
422	619	-0.053488	0
423	620	-0.0537672	0
424	621	-0.0540427	0
425	622	-0.0543245	0
426	623	-0.0546014	0
427	624	-0.0548922	0
428	625	-0.0551778	0
429	626	-0.0554664	0
430	627	-0.0557596	0
431	628	-0.0560538	0
432	629	-0.0563562	0
433	630	-0.0566571	0
434	631	-0.0569582	0
435	632	-0.0572242	0
436	633	-0.0574699	0
437	634	-0.0577226	0
438	635	-0.0580154	0
439	636	-0.0583088	0
440	637	-0.0586003	0
441	638	-0.0588795	0
442	639	-0.0591582	0
443	640	-0.0594319	0
444	641	-0.0596938	0
445	642	-0.0599627	0
446	643	-0.0602448	0
447	644	-0.0605113	0
448	645	-0.0607846	0
449	646	-0.0610505	0
450	647	-0.0613413	0
451	648	-0.061623	0
452	649	-0.0619051	0
453	650	-0.062168	0
454	651	-0.0624383	0
455	652	-0.0626993	0
456	653	-0.062974	0
457	654	-0.0632375	0
458	655	-0.0635142	0
459	656	-0.063763	0
460	657	-0.0640067	0
461	658	-0.0641755	0
462	659	-0.0643319	0
463	660	-0.0644856	0
464	661	-0.0646464	0
465	662	-0.0648204	0
466	663	-0.0649945	0
467	664	-0.0651739	0
468	665	-0.065312	0
