Start_Pos	End_Pos	Discriminant_Value	Distance from cutoff
2859	3058	0.190659	-0.0493412
2860	3059	0.19166	-0.04834
2861	3060	0.192648	-0.0473521
2862	3061	0.193553	-0.0464467
2863	3062	0.194425	-0.0455748
2864	3063	0.195241	-0.0447592
2865	3064	0.196008	-0.043992
2866	3065	0.196714	-0.0432858
2867	3066	0.197393	-0.0426074
2868	3067	0.198053	-0.0419471
2869	3068	0.198649	-0.0413513
2870	3069	0.199173	-0.0408271
2871	3070	0.199703	-0.0402971
2872	3071	0.200224	-0.0397759
2873	3072	0.200699	-0.039301
2874	3073	0.201138	-0.0388618
2875	3074	0.201505	-0.0384953
2876	3075	0.201726	-0.0382743
2877	3076	0.201886	-0.0381137
2878	3077	0.202036	-0.0379643
2879	3078	0.202152	-0.0378478
2880	3079	0.202273	-0.0377275
2881	3080	0.202374	-0.0376264
2882	3081	0.202432	-0.0375683
2883	3082	0.202394	-0.0376062
2884	3083	0.202269	-0.0377312
2885	3084	0.20214	-0.0378595
2886	3085	0.201992	-0.0380082
2887	3086	0.201956	-0.0380441
2888	3087	0.20188	-0.0381203
2889	3088	0.201791	-0.0382088
2890	3089	0.201681	-0.0383194
2891	3090	0.201541	-0.0384587
2892	3091	0.201398	-0.0386019
2893	3092	0.201211	-0.0387886
2894	3093	0.200994	-0.0390055
2895	3094	0.200764	-0.0392364
2896	3095	0.200475	-0.0395252
2897	3096	0.200177	-0.039823
2898	3097	0.199843	-0.0401573
2899	3098	0.199497	-0.0405028
2900	3099	0.199082	-0.0409177
2901	3100	0.198658	-0.0413423
2902	3101	0.198238	-0.0417617
2903	3102	0.197808	-0.0421924
2904	3103	0.197332	-0.0426675
2905	3104	0.196789	-0.0432107
2906	3105	0.196169	-0.0438314
2907	3106	0.19554	-0.0444603
2908	3107	0.194872	-0.0451281
2909	3108	0.194202	-0.0457981
2910	3109	0.193512	-0.0464877
2911	3110	0.192832	-0.0471676
2912	3111	0.192124	-0.0478764
2913	3112	0.191413	-0.0485866
2914	3113	0.190686	-0.049314
4307	4506	0.190398	-0.0496022
4308	4507	0.191304	-0.0486964
4309	4508	0.19218	-0.0478197
4310	4509	0.192979	-0.0470214
4311	4510	0.193763	-0.0462369
4312	4511	0.194506	-0.0454945
4313	4512	0.195235	-0.0447647
4314	4513	0.195947	-0.0440535
4315	4514	0.196639	-0.0433608
