Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	200	0.100326	0
2	201	0.100446	0
3	202	0.100564	0
4	203	0.100679	0
5	204	0.100792	0
6	205	0.100903	0
7	206	0.101011	0
8	207	0.101117	0
9	208	0.10122	0
10	209	0.101321	0
11	210	0.10142	0
12	211	0.101516	0
13	212	0.10161	0
14	213	0.101701	0
15	214	0.10179	0
16	215	0.101876	0
17	216	0.101961	0
18	217	0.102042	0
19	218	0.102122	0
20	219	0.102199	0
21	220	0.102273	0
22	221	0.102345	0
23	222	0.102415	0
24	223	0.102483	0
25	224	0.102548	0
26	225	0.10261	0
27	226	0.10267	0
28	227	0.102728	0
29	228	0.102784	0
30	229	0.102836	0
31	230	0.102887	0
32	231	0.102935	0
33	232	0.102981	0
34	233	0.103024	0
35	234	0.103065	0
36	235	0.103104	0
37	236	0.10314	0
38	237	0.103174	0
39	238	0.103205	0
40	239	0.103234	0
41	240	0.103261	0
42	241	0.103285	0
43	242	0.103307	0
44	243	0.103326	0
45	244	0.103343	0
46	245	0.103358	0
47	246	0.10337	0
48	247	0.10338	0
49	248	0.103387	0
50	249	0.103392	0
51	250	0.103395	0
52	251	0.103395	0
53	252	0.103393	0
54	253	0.103388	0
55	254	0.103381	0
56	255	0.103372	0
57	256	0.10336	0
58	257	0.103346	0
59	258	0.103329	0
60	259	0.10331	0
61	260	0.103289	0
62	261	0.103265	0
63	262	0.103239	0
64	263	0.103211	0
65	264	0.10318	0
66	265	0.103146	0
67	266	0.10311	0
68	267	0.103072	0
69	268	0.103032	0
70	269	0.102989	0
71	270	0.102943	0
72	271	0.102896	0
73	272	0.102845	0
74	273	0.102793	0
75	274	0.102738	0
76	275	0.102681	0
77	276	0.102621	0
78	277	0.102559	0
79	278	0.102494	0
80	279	0.102427	0
81	280	0.102358	0
82	281	0.102286	0
83	282	0.102212	0
84	283	0.102135	0
85	284	0.102056	0
86	285	0.101975	0
87	286	0.101891	0
88	287	0.101805	0
