Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	200	0.241611	1
2	201	0.241083	1
3	202	0.240556	1
4	203	0.240031	1
5	204	0.239507	0
6	205	0.238985	0
7	206	0.238464	0
8	207	0.237945	0
9	208	0.237427	0
10	209	0.236911	0
11	210	0.236396	0
12	211	0.235883	0
13	212	0.235371	0
14	213	0.234861	0
15	214	0.234353	0
16	215	0.233846	0
17	216	0.23334	0
18	217	0.232836	0
19	218	0.232333	0
20	219	0.231832	0
21	220	0.231333	0
22	221	0.230835	0
23	222	0.230338	0
24	223	0.229843	0
25	224	0.22935	0
26	225	0.228858	0
27	226	0.228368	0
28	227	0.227879	0
29	228	0.227391	0
30	229	0.226906	0
31	230	0.226421	0
32	231	0.225938	0
33	232	0.225457	0
34	233	0.224977	0
35	234	0.224499	0
36	235	0.224022	0
37	236	0.223547	0
38	237	0.223073	0
39	238	0.222601	0
40	239	0.22213	0
41	240	0.221661	0
42	241	0.221194	0
43	242	0.220727	0
44	243	0.220263	0
45	244	0.2198	0
46	245	0.219338	0
47	246	0.218878	0
48	247	0.21842	0
49	248	0.217963	0
50	249	0.217507	0
51	250	0.217053	0
52	251	0.216601	0
53	252	0.21615	0
54	253	0.2157	0
55	254	0.215252	0
56	255	0.214806	0
57	256	0.214361	0
58	257	0.213918	0
59	258	0.213476	0
60	259	0.213035	0
61	260	0.212597	0
62	261	0.212159	0
63	262	0.211723	0
64	263	0.211289	0
65	264	0.210856	0
66	265	0.210425	0
67	266	0.209995	0
68	267	0.209567	0
69	268	0.209141	0
70	269	0.208715	0
71	270	0.208292	0
72	271	0.20787	0
73	272	0.207449	0
74	273	0.20703	0
75	274	0.206612	0
76	275	0.206196	0
77	276	0.205782	0
78	277	0.205369	0
79	278	0.204957	0
80	279	0.204547	0
81	280	0.204139	0
82	281	0.203732	0
83	282	0.203326	0
84	283	0.202922	0
85	284	0.20252	0
86	285	0.202119	0
87	286	0.20172	0
88	287	0.201322	0
89	288	0.200925	0
90	289	0.200531	0
91	290	0.200137	0
92	291	0.199746	0
93	292	0.199355	0
94	293	0.198967	0
95	294	0.198579	0
96	295	0.198194	0
97	296	0.197809	0
98	297	0.197427	0
99	298	0.197046	0
100	299	0.196666	0
101	300	0.196288	0
102	301	0.195911	0
103	302	0.195536	0
104	303	0.195162	0
105	304	0.19479	0
106	305	0.19442	0
107	306	0.194051	0
108	307	0.193683	0
109	308	0.193317	0
110	309	0.192953	0
111	310	0.19259	0
112	311	0.192228	0
113	312	0.191868	0
114	313	0.19151	0
115	314	0.191153	0
116	315	0.190798	0
117	316	0.190444	0
118	317	0.190092	0
119	318	0.189741	0
120	319	0.189391	0
121	320	0.189044	0
122	321	0.188697	0
123	322	0.188353	0
124	323	0.188009	0
125	324	0.187668	0
126	325	0.187328	0
127	326	0.186989	0
128	327	0.186652	0
129	328	0.186316	0
130	329	0.185982	0
131	330	0.185649	0
132	331	0.185318	0
133	332	0.184989	0
134	333	0.184661	0
135	334	0.184334	0
136	335	0.184009	0
137	336	0.183685	0
138	337	0.183363	0
139	338	0.183043	0
140	339	0.182724	0
141	340	0.182407	0
142	341	0.182091	0
143	342	0.181776	0
144	343	0.181463	0
145	344	0.181152	0
146	345	0.180842	0
147	346	0.180534	0
148	347	0.180227	0
149	348	0.179922	0
150	349	0.179618	0
151	350	0.179316	0
152	351	0.179015	0
153	352	0.178716	0
154	353	0.178418	0
155	354	0.178122	0
156	355	0.177827	0
157	356	0.177534	0
158	357	0.177242	0
159	358	0.176952	0
160	359	0.176663	0
161	360	0.176376	0
162	361	0.176091	0
163	362	0.175807	0
164	363	0.175524	0
165	364	0.175243	0
166	365	0.174964	0
167	366	0.174686	0
168	367	0.174409	0
169	368	0.174134	0
170	369	0.173861	0
171	370	0.173589	0
172	371	0.173318	0
173	372	0.173049	0
174	373	0.172782	0
175	374	0.172516	0
176	375	0.172252	0
177	376	0.171989	0
178	377	0.171728	0
179	378	0.171468	0
180	379	0.17121	0
181	380	0.170953	0
182	381	0.170698	0
183	382	0.170444	0
184	383	0.170192	0
185	384	0.169941	0
