Start_Pos	End_Pos	Discriminant_Value	Distance from cutoff
1	200	0.367004	0.127004
2	201	0.367744	0.127744
3	202	0.368479	0.128479
4	203	0.369208	0.129208
5	204	0.369933	0.129933
6	205	0.370652	0.130652
7	206	0.371367	0.131367
8	207	0.372076	0.132076
9	208	0.372781	0.132781
10	209	0.37348	0.13348
11	210	0.374175	0.134175
12	211	0.374864	0.134864
13	212	0.375548	0.135548
14	213	0.376228	0.136228
15	214	0.376902	0.136902
16	215	0.377571	0.137571
17	216	0.378235	0.138235
18	217	0.378894	0.138894
19	218	0.379548	0.139548
20	219	0.380197	0.140197
21	220	0.380841	0.140841
22	221	0.38148	0.14148
23	222	0.382114	0.142114
24	223	0.382743	0.142743
25	224	0.383367	0.143367
26	225	0.383985	0.143985
27	226	0.384599	0.144599
28	227	0.385208	0.145208
29	228	0.385812	0.145812
30	229	0.38641	0.14641
31	230	0.387004	0.147004
32	231	0.387592	0.147592
33	232	0.388176	0.148176
34	233	0.388754	0.148754
35	234	0.389328	0.149328
36	235	0.389896	0.149896
37	236	0.39046	0.15046
38	237	0.391018	0.151018
39	238	0.391571	0.151571
40	239	0.392119	0.152119
41	240	0.392663	0.152663
42	241	0.393201	0.153201
43	242	0.393734	0.153734
44	243	0.394262	0.154262
45	244	0.394785	0.154785
46	245	0.395303	0.155303
47	246	0.395816	0.155816
48	247	0.396324	0.156324
49	248	0.396827	0.156827
50	249	0.397325	0.157325
51	250	0.397817	0.157817
52	251	0.398305	0.158305
53	252	0.398788	0.158788
54	253	0.399266	0.159266
55	254	0.399738	0.159738
56	255	0.400206	0.160206
57	256	0.400668	0.160668
58	257	0.401126	0.161126
59	258	0.401579	0.161579
60	259	0.402026	0.162026
61	260	0.402468	0.162468
62	261	0.402906	0.162906
63	262	0.403338	0.163338
64	263	0.403765	0.163765
65	264	0.404188	0.164188
66	265	0.404605	0.164605
67	266	0.405017	0.165017
68	267	0.405424	0.165424
69	268	0.405826	0.165826
70	269	0.406223	0.166223
71	270	0.406616	0.166616
72	271	0.407003	0.167003
73	272	0.407384	0.167384
74	273	0.407761	0.167761
75	274	0.408133	0.168133
76	275	0.4085	0.1685
77	276	0.408862	0.168862
78	277	0.409219	0.169219
79	278	0.40957	0.16957
80	279	0.409917	0.169917
81	280	0.410259	0.170259
82	281	0.410595	0.170595
83	282	0.410927	0.170927
84	283	0.411253	0.171253
85	284	0.411575	0.171575
86	285	0.411891	0.171891
87	286	0.412203	0.172203
88	287	0.412509	0.172509
89	288	0.412811	0.172811
90	289	0.413107	0.173107
91	290	0.413398	0.173398
92	291	0.413684	0.173684
93	292	0.413966	0.173966
94	293	0.414242	0.174242
95	294	0.414513	0.174513
96	295	0.414779	0.174779
97	296	0.41504	0.17504
98	297	0.415296	0.175296
99	298	0.415547	0.175547
100	299	0.415793	0.175793
101	300	0.416034	0.176034
102	301	0.416269	0.176269
103	302	0.4165	0.1765
104	303	0.416726	0.176726
105	304	0.416947	0.176947
106	305	0.417162	0.177162
107	306	0.417373	0.177373
108	307	0.417579	0.177579
109	308	0.417779	0.177779
110	309	0.417975	0.177975
111	310	0.418165	0.178165
112	311	0.418351	0.178351
113	312	0.418531	0.178531
114	313	0.418706	0.178706
115	314	0.418877	0.178877
116	315	0.419042	0.179042
117	316	0.419202	0.179202
118	317	0.419358	0.179358
119	318	0.419508	0.179508
120	319	0.419653	0.179653
121	320	0.419793	0.179793
122	321	0.419928	0.179928
123	322	0.420058	0.180058
124	323	0.420183	0.180183
125	324	0.420303	0.180303
126	325	0.420418	0.180418
127	326	0.420528	0.180528
128	327	0.420633	0.180633
129	328	0.420732	0.180732
130	329	0.420827	0.180827
131	330	0.420917	0.180917
132	331	0.421001	0.181001
133	332	0.421081	0.181081
134	333	0.421156	0.181156
135	334	0.421225	0.181225
136	335	0.42129	0.18129
137	336	0.421349	0.181349
138	337	0.421404	0.181404
139	338	0.421453	0.181453
140	339	0.421497	0.181497
141	340	0.421537	0.181537
142	341	0.421571	0.181571
143	342	0.4216	0.1816
144	343	0.421624	0.181624
145	344	0.421644	0.181644
146	345	0.421658	0.181658
147	346	0.421667	0.181667
148	347	0.421671	0.181671
149	348	0.42167	0.18167
150	349	0.421664	0.181664
151	350	0.421653	0.181653
152	351	0.421637	0.181637
153	352	0.421616	0.181616
154	353	0.421589	0.181589
155	354	0.421558	0.181558
156	355	0.421522	0.181522
157	356	0.421481	0.181481
158	357	0.421434	0.181434
159	358	0.421383	0.181383
160	359	0.421327	0.181327
161	360	0.421265	0.181265
162	361	0.421199	0.181199
163	362	0.421127	0.181127
164	363	0.42105	0.18105
165	364	0.420969	0.180969
166	365	0.420882	0.180882
167	366	0.420791	0.180791
168	367	0.420694	0.180694
169	368	0.420592	0.180592
170	369	0.420485	0.180485
171	370	0.420373	0.180373
172	371	0.420257	0.180257
173	372	0.420135	0.180135
174	373	0.420008	0.180008
175	374	0.419876	0.179876
176	375	0.419739	0.179739
177	376	0.419597	0.179597
178	377	0.419449	0.179449
179	378	0.419297	0.179297
180	379	0.41914	0.17914
181	380	0.418978	0.178978
182	381	0.418811	0.178811
183	382	0.418638	0.178638
184	383	0.418461	0.178461
185	384	0.418279	0.178279
186	385	0.418091	0.178091
187	386	0.417899	0.177899
188	387	0.417701	0.177701
189	388	0.417499	0.177499
190	389	0.417291	0.177291
191	390	0.417078	0.177078
192	391	0.416861	0.176861
193	392	0.416638	0.176638
194	393	0.41641	0.17641
195	394	0.416178	0.176178
196	395	0.41594	0.17594
197	396	0.415697	0.175697
198	397	0.415449	0.175449
199	398	0.415196	0.175196
200	399	0.414938	0.174938
201	400	0.414675	0.174675
202	401	0.414407	0.174407
203	402	0.413779	0.173779
204	403	0.413161	0.173161
205	404	0.412486	0.172486
206	405	0.411797	0.171797
207	406	0.41108	0.17108
208	407	0.410359	0.170359
209	408	0.409666	0.169666
210	409	0.409046	0.169046
211	410	0.408429	0.168429
212	411	0.407803	0.167803
213	412	0.407164	0.167164
214	413	0.406532	0.166532
215	414	0.405899	0.165899
216	415	0.405237	0.165237
217	416	0.404572	0.164572
218	417	0.403951	0.163951
219	418	0.403387	0.163387
220	419	0.402807	0.162807
221	420	0.402235	0.162235
222	421	0.401656	0.161656
223	422	0.401124	0.161124
224	423	0.400628	0.160628
225	424	0.400129	0.160129
226	425	0.399602	0.159602
227	426	0.399009	0.159009
228	427	0.39842	0.15842
229	428	0.397777	0.157777
230	429	0.397104	0.157104
231	430	0.396412	0.156412
232	431	0.395704	0.155704
233	432	0.394996	0.154996
234	433	0.394356	0.154356
235	434	0.393674	0.153674
236	435	0.392972	0.152972
237	436	0.392261	0.152261
238	437	0.39154	0.15154
239	438	0.390799	0.150799
240	439	0.390056	0.150056
241	440	0.389334	0.149334
242	441	0.38863	0.14863
243	442	0.387904	0.147904
244	443	0.38713	0.14713
245	444	0.386351	0.146351
246	445	0.385518	0.145518
247	446	0.384685	0.144685
248	447	0.38377	0.14377
249	448	0.382912	0.142912
250	449	0.381983	0.141983
251	450	0.381035	0.141035
252	451	0.380094	0.140094
253	452	0.379168	0.139168
254	453	0.378166	0.138166
255	454	0.377212	0.137212
256	455	0.376257	0.136257
257	456	0.375255	0.135255
258	457	0.374257	0.134257
259	458	0.373251	0.133251
260	459	0.372223	0.132223
261	460	0.371238	0.131238
262	461	0.370233	0.130233
263	462	0.369252	0.129252
264	463	0.368296	0.128296
265	464	0.367358	0.127358
266	465	0.366351	0.126351
267	466	0.365324	0.125324
268	467	0.364316	0.124316
269	468	0.363321	0.123321
270	469	0.36234	0.12234
271	470	0.361385	0.121385
272	471	0.360392	0.120392
273	472	0.359413	0.119413
274	473	0.358469	0.118469
