Start_Pos	End_Pos	Discriminant_Value	Distance from cutoff
6599	6982	0.19005	-0.04995
6600	6983	0.190352	-0.0496476
6601	6984	0.19067	-0.0493305
6602	6985	0.190986	-0.0490144
6603	6986	0.191337	-0.0486631
6604	6987	0.191687	-0.0483132
6605	6988	0.192092	-0.0479078
6606	6989	0.192497	-0.0475031
6607	6990	0.192899	-0.0471014
6608	6991	0.193321	-0.0466789
6609	6992	0.193771	-0.046229
6610	6993	0.194275	-0.045725
6611	6994	0.194766	-0.0452343
6612	6995	0.195263	-0.0447371
6613	6996	0.195765	-0.0442349
6614	6997	0.196291	-0.0437088
6615	6998	0.196833	-0.0431671
6616	6999	0.197351	-0.0426493
6617	7000	0.197858	-0.0421418
6618	7001	0.198907	-0.0410932
6619	7002	0.199867	-0.0401326
6620	7003	0.200699	-0.0393012
6621	7004	0.201495	-0.0385054
6622	7005	0.202191	-0.0378086
6623	7006	0.202829	-0.0371713
6624	7007	0.203423	-0.0365772
6625	7008	0.203938	-0.0360623
6626	7009	0.204446	-0.0355541
6627	7010	0.204901	-0.0350988
6628	7011	0.205325	-0.0346755
6629	7012	0.205668	-0.034332
6630	7013	0.205949	-0.0340505
6631	7014	0.206256	-0.0337444
6632	7015	0.206529	-0.0334707
6633	7016	0.206765	-0.0332352
6634	7017	0.206923	-0.0330768
6635	7018	0.207056	-0.032944
6636	7019	0.207093	-0.0329072
6637	7020	0.207138	-0.0328623
6638	7021	0.207158	-0.0328419
6639	7022	0.207144	-0.0328559
6640	7023	0.207105	-0.032895
6641	7024	0.207036	-0.0329638
6642	7025	0.206956	-0.0330442
6643	7026	0.206832	-0.0331684
6644	7027	0.206708	-0.0332921
6645	7028	0.206541	-0.0334593
6646	7029	0.206305	-0.0336952
6647	7030	0.206034	-0.033966
6648	7031	0.20572	-0.0342799
6649	7032	0.205369	-0.0346306
6650	7033	0.204985	-0.0350151
6651	7034	0.204567	-0.0354326
6652	7035	0.204108	-0.035892
6653	7036	0.203691	-0.0363088
6654	7037	0.203246	-0.0367539
6655	7038	0.202718	-0.0372818
6656	7039	0.202187	-0.0378133
6657	7040	0.201604	-0.038396
6658	7041	0.200968	-0.0390322
6659	7042	0.200289	-0.0397108
6660	7043	0.199617	-0.0403831
6661	7044	0.198948	-0.0410523
6662	7045	0.198374	-0.0416259
6663	7046	0.197753	-0.0422473
6664	7047	0.197068	-0.0429321
6665	7048	0.19642	-0.04358
6666	7049	0.195766	-0.0442343
6667	7050	0.195072	-0.0449285
6668	7051	0.194343	-0.0456572
6669	7052	0.193667	-0.0463332
6670	7053	0.192949	-0.047051
6671	7054	0.192184	-0.0478162
6672	7055	0.191427	-0.0485725
6673	7056	0.190674	-0.0493257
9199	9582	0.192106	-0.0478944
9200	9583	0.19608	-0.0439195
9201	9584	0.199456	-0.0405436
9202	9585	0.202332	-0.0376685
9203	9586	0.20461	-0.0353899
9204	9587	0.206352	-0.0336478
9205	9588	0.207528	-0.0324716
9206	9589	0.208032	-0.031968
9207	9590	0.208302	-0.0316975
9208	9591	0.208042	-0.0319585
9209	9592	0.207185	-0.0328149
9210	9593	0.2057	-0.0343001
9211	9594	0.203565	-0.0364349
9212	9595	0.200762	-0.0392381
9213	9596	0.197308	-0.042692
9214	9597	0.193119	-0.0468808
9396	9779	0.190254	-0.0497464
9397	9780	0.190532	-0.0494684
9398	9781	0.190816	-0.0491836
9399	9782	0.191074	-0.0489263
9400	9783	0.191346	-0.0486537
9401	9784	0.19164	-0.0483601
9402	9785	0.191869	-0.048131
9403	9786	0.19206	-0.0479395
9404	9787	0.192237	-0.0477628
9405	9788	0.192418	-0.0475825
9406	9789	0.19259	-0.0474102
9407	9790	0.192737	-0.0472628
9408	9791	0.192848	-0.0471522
9409	9792	0.192929	-0.0470712
9410	9793	0.193025	-0.0469746
9411	9794	0.193114	-0.0468858
9412	9795	0.193188	-0.0468124
9413	9796	0.193256	-0.0467444
9414	9797	0.193367	-0.0466332
9415	9798	0.193476	-0.0465241
9416	9799	0.193581	-0.0464193
9417	9800	0.193708	-0.0462916
9418	9801	0.193817	-0.0461831
9419	9802	0.193961	-0.0460393
9420	9803	0.19411	-0.0458897
9421	9804	0.194232	-0.0457685
9422	9805	0.194332	-0.0456677
9423	9806	0.194406	-0.0455935
9424	9807	0.194477	-0.0455225
9425	9808	0.194558	-0.0454418
9426	9809	0.194651	-0.0453489
9427	9810	0.19472	-0.0452803
9428	9811	0.194782	-0.0452182
9429	9812	0.194842	-0.0451578
9430	9813	0.194895	-0.0451052
9431	9814	0.194984	-0.0450163
9432	9815	0.195033	-0.0449673
9433	9816	0.195035	-0.044965
9434	9817	0.195081	-0.0449191
9435	9818	0.195147	-0.0448526
9436	9819	0.195207	-0.044793
9437	9820	0.195248	-0.0447524
9438	9821	0.195277	-0.0447228
9439	9822	0.195318	-0.044682
9440	9823	0.195373	-0.0446269
9441	9824	0.195419	-0.0445806
9442	9825	0.195422	-0.0445782
9443	9826	0.19538	-0.0446202
9444	9827	0.195326	-0.0446742
9445	9828	0.195253	-0.0447471
9446	9829	0.195192	-0.0448075
9447	9830	0.195131	-0.044869
9448	9831	0.195062	-0.0449382
9449	9832	0.194974	-0.0450263
9450	9833	0.194922	-0.0450784
9451	9834	0.194879	-0.0451209
9452	9835	0.194816	-0.0451837
9453	9836	0.194749	-0.0452509
9454	9837	0.194653	-0.0453474
9455	9838	0.194514	-0.0454863
9456	9839	0.194382	-0.0456184
9457	9840	0.194229	-0.0457707
9458	9841	0.194079	-0.045921
9459	9842	0.193929	-0.0460708
9460	9843	0.193763	-0.0462368
9461	9844	0.193562	-0.0464376
9462	9845	0.19336	-0.0466398
9463	9846	0.193161	-0.046839
9464	9847	0.192967	-0.0470334
9465	9848	0.192771	-0.0472295
9466	9849	0.192571	-0.0474295
9467	9850	0.192366	-0.0476337
9468	9851	0.192157	-0.0478435
9469	9852	0.191955	-0.0480448
9470	9853	0.191701	-0.0482992
9471	9854	0.191401	-0.048599
9472	9855	0.191087	-0.0489134
9473	9856	0.190776	-0.0492238
9474	9857	0.190515	-0.0494846
9475	9858	0.190278	-0.0497222
9476	9859	0.190041	-0.0499592
