Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	200	0.139929	0
2	201	0.139684	0
3	202	0.139441	0
4	203	0.139199	0
5	204	0.13896	0
6	205	0.138722	0
7	206	0.138486	0
8	207	0.138252	0
9	208	0.13802	0
10	209	0.137789	0
11	210	0.137561	0
12	211	0.137334	0
13	212	0.13711	0
14	213	0.136887	0
15	214	0.136666	0
16	215	0.136447	0
17	216	0.136229	0
18	217	0.136014	0
19	218	0.1358	0
20	219	0.135589	0
21	220	0.135379	0
22	221	0.135171	0
23	222	0.134965	0
24	223	0.134761	0
25	224	0.134558	0
26	225	0.134358	0
27	226	0.134159	0
28	227	0.133962	0
29	228	0.133767	0
30	229	0.133574	0
31	230	0.133383	0
32	231	0.133194	0
33	232	0.133006	0
34	233	0.132821	0
35	234	0.132637	0
36	235	0.132455	0
37	236	0.132275	0
38	237	0.132097	0
39	238	0.131921	0
40	239	0.131746	0
41	240	0.131574	0
42	241	0.131403	0
43	242	0.131234	0
44	243	0.131068	0
45	244	0.130902	0
46	245	0.130739	0
47	246	0.130578	0
48	247	0.130418	0
49	248	0.130261	0
50	249	0.130105	0
51	250	0.129951	0
52	251	0.129799	0
53	252	0.129649	0
54	253	0.129501	0
55	254	0.129354	0
56	255	0.12921	0
57	256	0.129067	0
58	257	0.128926	0
59	258	0.128787	0
60	259	0.12865	0
61	260	0.128515	0
62	261	0.128381	0
63	262	0.12825	0
64	263	0.12812	0
65	264	0.127992	0
66	265	0.127866	0
67	266	0.127742	0
68	267	0.12762	0
69	268	0.1275	0
70	269	0.127381	0
71	270	0.127265	0
72	271	0.12715	0
73	272	0.127037	0
74	273	0.126926	0
75	274	0.126817	0
76	275	0.126709	0
77	276	0.126604	0
78	277	0.1265	0
79	278	0.126399	0
80	279	0.126299	0
81	280	0.126201	0
82	281	0.126105	0
83	282	0.126011	0
84	283	0.125918	0
85	284	0.125828	0
86	285	0.125739	0
87	286	0.125652	0
88	287	0.125567	0
89	288	0.125484	0
90	289	0.125403	0
91	290	0.125324	0
92	291	0.125246	0
93	292	0.125171	0
94	293	0.125097	0
95	294	0.125025	0
96	295	0.124955	0
97	296	0.124887	0
98	297	0.124821	0
99	298	0.124756	0
100	299	0.124694	0
101	300	0.124633	0
102	301	0.124574	0
103	302	0.124517	0
104	303	0.124462	0
105	304	0.124409	0
106	305	0.124357	0
107	306	0.124308	0
108	307	0.12426	0
109	308	0.124214	0
110	309	0.12417	0
111	310	0.124128	0
112	311	0.124088	0
113	312	0.12405	0
114	313	0.124013	0
115	314	0.123979	0
116	315	0.123946	0
117	316	0.123915	0
118	317	0.123886	0
119	318	0.123859	0
120	319	0.123834	0
121	320	0.12381	0
122	321	0.123789	0
123	322	0.123769	0
124	323	0.123751	0
125	324	0.123735	0
126	325	0.123721	0
127	326	0.123709	0
128	327	0.123699	0
129	328	0.12369	0
130	329	0.123683	0
131	330	0.123679	0
132	331	0.123676	0
