Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	198	0.300257	1
2	199	0.299366	1
3	200	0.298479	1
4	201	0.297597	1
5	202	0.29672	1
6	203	0.295848	1
7	204	0.29498	1
8	205	0.294117	1
9	206	0.293258	1
10	207	0.292404	1
11	208	0.291555	1
12	209	0.29071	1
13	210	0.28987	1
14	211	0.289035	1
15	212	0.288204	1
16	213	0.287378	1
17	214	0.286556	1
18	215	0.285739	1
19	216	0.284927	1
20	217	0.284119	1
21	218	0.283316	1
22	219	0.282518	1
23	220	0.281724	1
24	221	0.280935	1
25	222	0.28015	1
26	223	0.27937	1
27	224	0.278595	1
28	225	0.277825	1
29	226	0.277059	1
30	227	0.276297	1
31	228	0.27554	1
32	229	0.274788	1
33	230	0.274041	1
34	231	0.273298	1
35	232	0.27256	1
36	233	0.271826	1
37	234	0.271097	1
38	235	0.270373	1
39	236	0.269653	1
40	237	0.268938	1
41	238	0.268228	1
42	239	0.267522	1
43	240	0.266821	1
44	241	0.266124	1
45	242	0.265432	1
46	243	0.264745	1
47	244	0.264062	1
48	245	0.263384	1
49	246	0.262711	1
50	247	0.262042	1
51	248	0.261378	1
52	249	0.260718	1
53	250	0.260063	1
54	251	0.259413	1
55	252	0.258767	1
56	253	0.258126	1
57	254	0.25749	1
58	255	0.256858	1
59	256	0.256231	1
60	257	0.255609	1
61	258	0.254991	1
62	259	0.254378	1
63	260	0.253769	1
64	261	0.253165	1
65	262	0.252566	1
66	263	0.251971	1
67	264	0.251381	1
68	265	0.250795	1
69	266	0.250215	1
70	267	0.249638	1
71	268	0.249067	1
72	269	0.2485	1
73	270	0.247938	1
74	271	0.24738	1
75	272	0.246827	1
76	273	0.246278	1
77	274	0.245735	1
78	275	0.245195	1
79	276	0.244661	1
80	277	0.244131	1
81	278	0.243606	1
82	279	0.243085	1
83	280	0.242569	1
84	281	0.242058	1
85	282	0.241551	1
86	283	0.241049	1
87	284	0.240551	1
88	285	0.240058	1
89	286	0.23957	0
90	287	0.239087	0
91	288	0.238608	0
92	289	0.238133	0
93	290	0.237664	0
94	291	0.237198	0
95	292	0.236738	0
96	293	0.236282	0
97	294	0.235831	0
98	295	0.235384	0
99	296	0.234942	0
100	297	0.234505	0
101	298	0.234072	0
102	299	0.233644	0
103	300	0.233221	0
104	301	0.232802	0
105	302	0.232388	0
106	303	0.231978	0
107	304	0.231574	0
108	305	0.231173	0
109	306	0.230778	0
110	307	0.230387	0
111	308	0.23	0
112	309	0.229618	0
113	310	0.229241	0
114	311	0.228869	0
115	312	0.228501	0
116	313	0.228138	0
117	314	0.227779	0
118	315	0.227425	0
119	316	0.227076	0
120	317	0.226731	0
121	318	0.226391	0
122	319	0.226055	0
123	320	0.225725	0
124	321	0.225398	0
125	322	0.225077	0
126	323	0.22476	0
127	324	0.224448	0
128	325	0.22414	0
129	326	0.223837	0
130	327	0.223538	0
131	328	0.223245	0
132	329	0.222955	0
133	330	0.222671	0
134	331	0.222391	0
135	332	0.222116	0
136	333	0.221845	0
137	334	0.221579	0
138	335	0.221318	0
139	336	0.221061	0
140	337	0.220809	0
141	338	0.220561	0
142	339	0.220318	0
143	340	0.22008	0
144	341	0.219846	0
145	342	0.219618	0
146	343	0.219393	0
147	344	0.219173	0
148	345	0.218958	0
149	346	0.218748	0
150	347	0.218542	0
151	348	0.218341	0
152	349	0.218144	0
153	350	0.217952	0
154	351	0.217765	0
155	352	0.217582	0
156	353	0.217404	0
157	354	0.217231	0
158	355	0.217062	0
159	356	0.216898	0
160	357	0.216738	0
161	358	0.216583	0
162	359	0.216433	0
163	360	0.216287	0
164	361	0.216146	0
165	362	0.21601	0
166	363	0.215878	0
167	364	0.215751	0
168	365	0.215629	0
169	366	0.215511	0
170	367	0.215397	0
171	368	0.215289	0
172	369	0.215185	0
173	370	0.215085	0
174	371	0.214991	0
175	372	0.214901	0
176	373	0.214815	0
177	374	0.214734	0
178	375	0.214658	0
179	376	0.214586	0
180	377	0.214519	0
181	378	0.214457	0
182	379	0.214399	0
183	380	0.214346	0
184	381	0.214298	0
185	382	0.214254	0
186	383	0.214215	0
187	384	0.21418	0
188	385	0.21415	0
189	386	0.214125	0
190	387	0.214105	0
191	388	0.214088	0
192	389	0.214077	0
193	390	0.21407	0
194	391	0.214068	0
195	392	0.214071	0
196	393	0.214078	0
197	394	0.21409	0
198	395	0.214106	0
199	396	0.214127	0
200	397	0.214153	0
201	398	0.214055	0
202	399	0.213986	0
203	400	0.213947	0
204	401	0.213929	0
205	402	0.213947	0
206	403	0.213961	0
207	404	0.214004	0
208	405	0.214044	0
209	406	0.214085	0
210	407	0.214134	0
211	408	0.214178	0
212	409	0.214258	0
213	410	0.214331	0
214	411	0.21441	0
215	412	0.214533	0
216	413	0.2147	0
217	414	0.214872	0
218	415	0.215067	0
219	416	0.215247	0
220	417	0.215447	0
221	418	0.21567	0
222	419	0.215861	0
223	420	0.216052	0
224	421	0.216245	0
225	422	0.216444	0
226	423	0.216624	0
227	424	0.21682	0
228	425	0.217029	0
229	426	0.217272	0
230	427	0.217532	0
231	428	0.217772	0
232	429	0.217989	0
233	430	0.21823	0
234	431	0.218469	0
235	432	0.218715	0
236	433	0.218966	0
237	434	0.219213	0
238	435	0.21949	0
239	436	0.219756	0
240	437	0.220034	0
241	438	0.220292	0
242	439	0.220582	0
243	440	0.220888	0
244	441	0.221208	0
245	442	0.221569	0
246	443	0.221906	0
247	444	0.222238	0
248	445	0.222578	0
249	446	0.222916	0
250	447	0.223251	0
251	448	0.223591	0
252	449	0.223971	0
253	450	0.224363	0
254	451	0.224779	0
255	452	0.225225	0
256	453	0.225668	0
257	454	0.226103	0
258	455	0.226552	0
259	456	0.227009	0
260	457	0.227482	0
261	458	0.227978	0
262	459	0.228471	0
263	460	0.228949	0
