Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	200	-0.10895	0
2	201	-0.11275	0
3	202	-0.116529	0
4	203	-0.120289	0
5	204	-0.124029	0
6	205	-0.127749	0
7	206	-0.131449	0
8	207	-0.13513	0
9	208	-0.13879	0
10	209	-0.142431	0
11	210	-0.146052	0
12	211	-0.149653	0
13	212	-0.153234	0
14	213	-0.156795	0
15	214	-0.160336	0
16	215	-0.163858	0
17	216	-0.16736	0
18	217	-0.170842	0
19	218	-0.174304	0
20	219	-0.177746	0
21	220	-0.181169	0
22	221	-0.184571	0
23	222	-0.187954	0
24	223	-0.191317	0
25	224	-0.19466	0
26	225	-0.197983	0
27	226	-0.201286	0
28	227	-0.20457	0
29	228	-0.207833	0
30	229	-0.211077	0
31	230	-0.214301	0
32	231	-0.217505	0
33	232	-0.22069	0
34	233	-0.223854	0
35	234	-0.226999	0
36	235	-0.230123	0
37	236	-0.233228	0
38	237	-0.236313	0
39	238	-0.239379	0
40	239	-0.242424	0
41	240	-0.24545	0
42	241	-0.248455	0
43	242	-0.251441	0
44	243	-0.254407	0
45	244	-0.257353	0
46	245	-0.26028	0
47	246	-0.263186	0
48	247	-0.266073	0
49	248	-0.26894	0
50	249	-0.271787	0
51	250	-0.274614	0
52	251	-0.277421	0
53	252	-0.280209	0
54	253	-0.282976	0
55	254	-0.285724	0
56	255	-0.288452	0
57	256	-0.29116	0
58	257	-0.293848	0
59	258	-0.296517	0
60	259	-0.299165	0
61	260	-0.301794	0
62	261	-0.304403	0
63	262	-0.306992	0
64	263	-0.309561	0
65	264	-0.31211	0
66	265	-0.31464	0
67	266	-0.317149	0
68	267	-0.319639	0
69	268	-0.322109	0
70	269	-0.324559	0
71	270	-0.32699	0
72	271	-0.3294	0
73	272	-0.331791	0
74	273	-0.334161	0
75	274	-0.336512	0
76	275	-0.338843	0
77	276	-0.341155	0
78	277	-0.343446	0
79	278	-0.345718	0
80	279	-0.347969	0
81	280	-0.350201	0
82	281	-0.352413	0
83	282	-0.354605	0
84	283	-0.356778	0
85	284	-0.35893	0
86	285	-0.361063	0
87	286	-0.363176	0
88	287	-0.365269	0
89	288	-0.367342	0
90	289	-0.369395	0
91	290	-0.371428	0
92	291	-0.373442	0
93	292	-0.375436	0
94	293	-0.37741	0
95	294	-0.379364	0
96	295	-0.381298	0
97	296	-0.383212	0
98	297	-0.385107	0
99	298	-0.386982	0
100	299	-0.388836	0
101	300	-0.390671	0
102	301	-0.392487	0
103	302	-0.394282	0
104	303	-0.396057	0
105	304	-0.397813	0
106	305	-0.399549	0
107	306	-0.401265	0
108	307	-0.402961	0
109	308	-0.404637	0
110	309	-0.406294	0
111	310	-0.40793	0
112	311	-0.409547	0
113	312	-0.411144	0
114	313	-0.412721	0
115	314	-0.414278	0
116	315	-0.415816	0
117	316	-0.417333	0
118	317	-0.418831	0
119	318	-0.420309	0
120	319	-0.421767	0
121	320	-0.423205	0
122	321	-0.424623	0
123	322	-0.426022	0
124	323	-0.4274	0
125	324	-0.428759	0
126	325	-0.430098	0
127	326	-0.431417	0
128	327	-0.432716	0
129	328	-0.433996	0
130	329	-0.435255	0
131	330	-0.436495	0
132	331	-0.437715	0
133	332	-0.438915	0
134	333	-0.440095	0
135	334	-0.441256	0
136	335	-0.442396	0
137	336	-0.443517	0
138	337	-0.444618	0
139	338	-0.445699	0
140	339	-0.44676	0
141	340	-0.447801	0
142	341	-0.448823	0
143	342	-0.449824	0
144	343	-0.450806	0
145	344	-0.451768	0
146	345	-0.45271	0
147	346	-0.453633	0
148	347	-0.454535	0
149	348	-0.455418	0
150	349	-0.45628	0
151	350	-0.457123	0
152	351	-0.457946	0
153	352	-0.45875	0
154	353	-0.459533	0
155	354	-0.460296	0
156	355	-0.46104	0
157	356	-0.461764	0
158	357	-0.462468	0
159	358	-0.463152	0
160	359	-0.463816	0
161	360	-0.464461	0
162	361	-0.465086	0
163	362	-0.46569	0
164	363	-0.466275	0
165	364	-0.46684	0
166	365	-0.467386	0
167	366	-0.467911	0
168	367	-0.468417	0
169	368	-0.468902	0
170	369	-0.469368	0
171	370	-0.469814	0
172	371	-0.470241	0
173	372	-0.470647	0
174	373	-0.471034	0
175	374	-0.4714	0
176	375	-0.471747	0
177	376	-0.472074	0
178	377	-0.472381	0
179	378	-0.472669	0
180	379	-0.472936	0
181	380	-0.473184	0
182	381	-0.473411	0
183	382	-0.473619	0
184	383	-0.473807	0
185	384	-0.473976	0
186	385	-0.474124	0
187	386	-0.474253	0
188	387	-0.474361	0
189	388	-0.47445	0
190	389	-0.474519	0
191	390	-0.474569	0
192	391	-0.474598	0
193	392	-0.474608	0
194	393	-0.474597	0
195	394	-0.474567	0
196	395	-0.474517	0
197	396	-0.474447	0
198	397	-0.474357	0
199	398	-0.474248	0
200	399	-0.474119	0
201	400	-0.473969	0
202	401	-0.4738	0
203	402	-0.473385	0
204	403	-0.472962	0
205	404	-0.472522	0
206	405	-0.472068	0
207	406	-0.471615	0
208	407	-0.471168	0
209	408	-0.47071	0
210	409	-0.470309	0
211	410	-0.46985	0
212	411	-0.46937	0
213	412	-0.468882	0
214	413	-0.468541	0
215	414	-0.468314	0
216	415	-0.468071	0
217	416	-0.467813	0
218	417	-0.467558	0
219	418	-0.467297	0
220	419	-0.467022	0
221	420	-0.46675	0
222	421	-0.466475	0
223	422	-0.466184	0
224	423	-0.465926	0
225	424	-0.465551	0
226	425	-0.465238	0
227	426	-0.464909	0
228	427	-0.464572	0
229	428	-0.464259	0
230	429	-0.463914	0
231	430	-0.463569	0
232	431	-0.463219	0
233	432	-0.462859	0
234	433	-0.462489	0
235	434	-0.461998	0
236	435	-0.461409	0
237	436	-0.46082	0
238	437	-0.460147	0
239	438	-0.459571	0
240	439	-0.458986	0
241	440	-0.458384	0
242	441	-0.457753	0
243	442	-0.457024	0
244	443	-0.456307	0
245	444	-0.45557	0
246	445	-0.454759	0
247	446	-0.453964	0
248	447	-0.45318	0
249	448	-0.452263	0
250	449	-0.451272	0
251	450	-0.450262	0
252	451	-0.44927	0
253	452	-0.448217	0
254	453	-0.447169	0
255	454	-0.446196	0
256	455	-0.445192	0
257	456	-0.444188	0
258	457	-0.443098	0
259	458	-0.441982	0
260	459	-0.440777	0
261	460	-0.439555	0
262	461	-0.438327	0
263	462	-0.437068	0
264	463	-0.43579	0
265	464	-0.434488	0
266	465	-0.433148	0
267	466	-0.43174	0
268	467	-0.430318	0
269	468	-0.428901	0
270	469	-0.427473	0
271	470	-0.426003	0
272	471	-0.424553	0
273	472	-0.423014	0
274	473	-0.421466	0
275	474	-0.419901	0
276	475	-0.418319	0
277	476	-0.416773	0
278	477	-0.41521	0
279	478	-0.413627	0
280	479	-0.412051	0
281	480	-0.41046	0
282	481	-0.408879	0
283	482	-0.407241	0
284	483	-0.405506	0
285	484	-0.403862	0
286	485	-0.402207	0
287	486	-0.400562	0
288	487	-0.398788	0
289	488	-0.397051	0
290	489	-0.395287	0
291	490	-0.3935	0
292	491	-0.391713	0
293	492	-0.389868	0
294	493	-0.388008	0
295	494	-0.386149	0
296	495	-0.384274	0
297	496	-0.382423	0
298	497	-0.380552	0
299	498	-0.378708	0
300	499	-0.376846	0
301	500	-0.374877	0
302	501	-0.372904	0
303	502	-0.370921	0
304	503	-0.368929	0
305	504	-0.366896	0
306	505	-0.364834	0
307	506	-0.362713	0
308	507	-0.360595	0
309	508	-0.358452	0
310	509	-0.356278	0
311	510	-0.354201	0
312	511	-0.352208	0
313	512	-0.350205	0
314	513	-0.348226	0
315	514	-0.346234	0
316	515	-0.344232	0
317	516	-0.342219	0
318	517	-0.340202	0
319	518	-0.338213	0
320	519	-0.336171	0
321	520	-0.334133	0
322	521	-0.332087	0
323	522	-0.330025	0
324	523	-0.327872	0
325	524	-0.325614	0
326	525	-0.323332	0
327	526	-0.320999	0
328	527	-0.318597	0
329	528	-0.316185	0
330	529	-0.313748	0
331	530	-0.311705	0
332	531	-0.309645	0
333	532	-0.307624	0
334	533	-0.305596	0
335	534	-0.303554	0
336	535	-0.301509	0
337	536	-0.299497	0
338	537	-0.29747	0
339	538	-0.295511	0
340	539	-0.293536	0
341	540	-0.291702	0
342	541	-0.290027	0
343	542	-0.288373	0
344	543	-0.286725	0
345	544	-0.285145	0
346	545	-0.283573	0
347	546	-0.282029	0
348	547	-0.28053	0
349	548	-0.278938	0
350	549	-0.277357	0
351	550	-0.275794	0
352	551	-0.274266	0
353	552	-0.272729	0
354	553	-0.271228	0
355	554	-0.269733	0
356	555	-0.268255	0
357	556	-0.266878	0
358	557	-0.265185	0
359	558	-0.263476	0
360	559	-0.261776	0
361	560	-0.260096	0
362	561	-0.258347	0
363	562	-0.256656	0
364	563	-0.254958	0
365	564	-0.253275	0
366	565	-0.251585	0
367	566	-0.249889	0
368	567	-0.248181	0
369	568	-0.246441	0
370	569	-0.244721	0
371	570	-0.243179	0
372	571	-0.241593	0
373	572	-0.240018	0
374	573	-0.238469	0
375	574	-0.236919	0
376	575	-0.235311	0
377	576	-0.233709	0
378	577	-0.232101	0
379	578	-0.230498	0
380	579	-0.228848	0
381	580	-0.227216	0
382	581	-0.225584	0
383	582	-0.223983	0
384	583	-0.222397	0
385	584	-0.220809	0
386	585	-0.219217	0
387	586	-0.21762	0
388	587	-0.216023	0
389	588	-0.214802	0
390	589	-0.213695	0
391	590	-0.212575	0
392	591	-0.211457	0
393	592	-0.210322	0
394	593	-0.209199	0
395	594	-0.2081	0
396	595	-0.20702	0
397	596	-0.205909	0
398	597	-0.204759	0
399	598	-0.204166	0
400	599	-0.203561	0
401	600	-0.202945	0
402	601	-0.202288	0
403	602	-0.201642	0
404	603	-0.20097	0
405	604	-0.200284	0
406	605	-0.199607	0
407	606	-0.198911	0
408	607	-0.198218	0
409	608	-0.197573	0
410	609	-0.196929	0
411	610	-0.196341	0
412	611	-0.195769	0
413	612	-0.195194	0
414	613	-0.194628	0
415	614	-0.19404	0
416	615	-0.193445	0
417	616	-0.19285	0
418	617	-0.19224	0
419	618	-0.191614	0
420	619	-0.190982	0
421	620	-0.190334	0
422	621	-0.189697	0
423	622	-0.189024	0
424	623	-0.188352	0
425	624	-0.187676	0
426	625	-0.186986	0
427	626	-0.186269	0
428	627	-0.185363	0
429	628	-0.184433	0
430	629	-0.183493	0
431	630	-0.182551	0
432	631	-0.181611	0
433	632	-0.180655	0
434	633	-0.179698	0
435	634	-0.178862	0
436	635	-0.178118	0
437	636	-0.177366	0
438	637	-0.176683	0
439	638	-0.175912	0
440	639	-0.17512	0
441	640	-0.174275	0
442	641	-0.17344	0
443	642	-0.172758	0
444	643	-0.172064	0
445	644	-0.171411	0
446	645	-0.17077	0
447	646	-0.170092	0
448	647	-0.169409	0
449	648	-0.1688	0
450	649	-0.168211	0
451	650	-0.167647	0
452	651	-0.167129	0
453	652	-0.166647	0
454	653	-0.166163	0
455	654	-0.165679	0
456	655	-0.165216	0
457	656	-0.164777	0
458	657	-0.16443	0
459	658	-0.1641	0
460	659	-0.163866	0
461	660	-0.163644	0
462	661	-0.163423	0
463	662	-0.163178	0
464	663	-0.162943	0
465	664	-0.162734	0
466	665	-0.162534	0
467	666	-0.162519	0
468	667	-0.162584	0
469	668	-0.162548	0
470	669	-0.162513	0
471	670	-0.162451	0
472	671	-0.162513	0
473	672	-0.162599	0
474	673	-0.16267	0
475	674	-0.162755	0
476	675	-0.16273	0
477	676	-0.162888	0
478	677	-0.163032	0
479	678	-0.163202	0
480	679	-0.163347	0
481	680	-0.16343	0
482	681	-0.163525	0
483	682	-0.163747	0
484	683	-0.16403	0
485	684	-0.164347	0
486	685	-0.164678	0
487	686	-0.164642	0
488	687	-0.164823	0
489	688	-0.165017	0
490	689	-0.16523	0
491	690	-0.165445	0
492	691	-0.165674	0
493	692	-0.165934	0
494	693	-0.166202	0
495	694	-0.166483	0
496	695	-0.166704	0
497	696	-0.167054	0
498	697	-0.167444	0
499	698	-0.16792	0
500	699	-0.168408	0
501	700	-0.168959	0
502	701	-0.169543	0
503	702	-0.170173	0
504	703	-0.170703	0
505	704	-0.171287	0
506	705	-0.171916	0
507	706	-0.172602	0
