Start_Pos	End_Pos	Discriminant_Value	Is_Mosaic
1	96	0.245473	0
2	97	0.243991	0
3	98	0.243837	0
4	99	0.24498	0
5	100	0.247389	0
6	101	0.251033	0
7	102	0.255883	0
8	103	0.261908	0
9	104	0.269077	0
10	105	0.277359	0
11	106	0.286725	0
12	107	0.297143	0
13	108	0.313775	1
14	109	0.331184	1
15	110	0.346087	1
16	111	0.36091	1
17	112	0.37424	1
18	113	0.385067	1
19	114	0.395427	1
20	115	0.403615	1
21	116	0.409531	1
22	117	0.416227	1
23	118	0.41929	1
24	119	0.420111	1
25	120	0.417836	1
26	121	0.413329	1
27	122	0.406813	1
28	123	0.398065	1
29	124	0.391217	1
30	125	0.382847	1
31	126	0.377215	1
32	127	0.372808	1
33	128	0.371901	1
34	129	0.372536	1
35	130	0.374823	1
36	131	0.374535	1
37	132	0.375525	1
38	133	0.377055	1
39	134	0.378222	1
40	135	0.378018	1
41	136	0.377686	1
42	137	0.377029	1
43	138	0.375673	1
44	139	0.374418	1
45	140	0.370444	1
46	141	0.366452	1
47	142	0.363935	1
48	143	0.361962	1
49	144	0.360605	1
50	145	0.359069	1
51	146	0.356258	1
52	147	0.353689	1
53	148	0.352543	1
54	149	0.350844	1
55	150	0.348201	1
56	151	0.344949	1
57	152	0.341866	1
58	153	0.338827	1
59	154	0.337293	1
60	155	0.336567	1
61	156	0.336871	1
62	157	0.337613	1
63	158	0.339115	1
64	159	0.340729	1
65	160	0.343411	1
66	161	0.346942	1
67	162	0.350921	1
68	163	0.35612	1
69	164	0.362463	1
70	165	0.366605	1
71	166	0.371969	1
72	167	0.375573	1
73	168	0.377114	1
74	169	0.378575	1
75	170	0.380023	1
76	171	0.380608	1
77	172	0.380213	1
78	173	0.380552	1
79	174	0.381214	1
80	175	0.382602	1
81	176	0.385238	1
82	177	0.386856	1
83	178	0.3878	1
84	179	0.388773	1
85	180	0.390226	1
86	181	0.392019	1
87	182	0.393404	1
88	183	0.39533	1
89	184	0.397911	1
90	185	0.400746	1
91	186	0.404319	1
92	187	0.408237	1
93	188	0.413517	1
94	189	0.41692	1
95	190	0.4206	1
96	191	0.424511	1
97	192	0.428752	1
98	193	0.432561	1
99	194	0.437237	1
100	195	0.44114	1
101	196	0.444831	1
102	197	0.448368	1
103	198	0.449718	1
104	199	0.44954	1
105	200	0.448284	1
106	201	0.446569	1
107	202	0.443612	1
108	203	0.438958	1
109	204	0.432294	1
110	205	0.425826	1
111	206	0.41839	1
112	207	0.41081	1
113	208	0.402086	1
114	209	0.392669	1
115	210	0.383775	1
116	211	0.376656	1
117	212	0.370944	1
118	213	0.3657	1
119	214	0.362577	1
120	215	0.360447	1
121	216	0.359578	1
122	217	0.359393	1
123	218	0.360653	1
124	219	0.362493	1
125	220	0.365014	1
126	221	0.368531	1
127	222	0.371601	1
128	223	0.374625	1
129	224	0.376855	1
130	225	0.3781	1
131	226	0.377985	1
132	227	0.377342	1
133	228	0.375504	1
